Mean,Count,Service Time
13.27,0,0.516
13.27,1,0.057
13.27,2,0.048
13.27,3,0.009
13.27,4,0.012
13.27,5,0.029
13.27,6,0.014
13.27,7,0.008
13.27,8,0.015
13.27,9,0.02
13.27,10,0.022
13.27,11,0.019
13.27,12,0.056
13.27,13,0.048
13.27,14,0.009
13.27,15,0.015
13.27,16,0.007
13.27,17,0.006
13.27,18,0.011
13.27,19,0.035
13.27,20,0.015
13.27,21,0.022
13.27,22,0.015
13.27,23,0.01
13.27,24,0.023
13.27,25,0.051
13.27,26,0.061
13.27,27,0.045
13.27,28,0.007
13.27,29,0.042
13.27,30,0.046
13.27,31,0.006
13.27,32,0.013
13.27,33,0.055
13.27,34,0.066
13.27,35,0.052
13.27,36,0.027
13.27,37,0.007
13.27,38,0.025
13.27,39,0.05
13.27,40,0.007
13.27,41,0.015
13.27,42,0.016
13.27,43,0.005
13.27,44,0.043
13.27,45,0.052
13.27,46,0.046
13.27,47,0.009
13.27,48,0.007
13.27,49,0.019
13.27,50,0.072
13.27,51,0.066
13.27,52,0.007
13.27,53,0.008
13.27,54,0.016
13.27,55,0.011
13.27,56,0.047
13.27,57,0.015
13.27,58,0.008
13.27,59,0.015
13.27,60,0.047
13.27,61,0.014
13.27,62,0.053
13.27,63,0.046
13.27,64,0.028
13.27,65,0.012
13.27,66,0.008
13.27,67,0.051
13.27,68,0.046
13.27,69,0.013
13.27,70,0.007
13.27,71,0.054
13.27,72,0.013
13.27,73,0.011
13.27,74,0.021
13.27,75,0.007
13.27,76,0.044
13.27,77,0.043
13.27,78,0.006
13.27,79,0.032
13.27,80,0.014
13.27,81,0.019
13.27,82,0.054
13.27,83,0.019
13.27,84,0.048
13.27,85,0.027
13.27,86,0.053
13.27,87,0.015
13.27,88,0.028
13.27,89,0.017
13.27,90,0.019
13.27,91,0.053
13.27,92,0.046
13.27,93,0.009
13.27,94,0.013
13.27,95,0.03
13.27,96,0.005
13.27,97,0.007
13.27,98,0.015
13.27,99,0.05
13.27,100,0.045
13.27,101,0.008
13.27,102,0.06
13.27,103,0.067
13.27,104,0.046
13.27,105,0.056
13.27,106,0.01
13.27,107,0.046
13.27,108,0.042
13.27,109,0.045
13.27,110,0.008
13.27,111,0.046
13.27,112,0.048
13.27,113,0.01
13.27,114,0.014
13.27,115,0.016
13.27,116,0.009
13.27,117,0.067
13.27,118,0.01
13.27,119,0.045
13.27,120,0.051
13.27,121,0.006
13.27,122,0.004
13.27,123,0.01
13.27,124,0.009
13.27,125,0.013
13.27,126,0.05
13.27,127,0.045
13.27,128,0.045
13.27,129,0.055
13.27,130,0.005
13.27,131,0.044
13.27,132,0.041
13.27,133,0.045
13.27,134,0.006
13.27,135,0.056
13.27,136,0.017
13.27,137,0.046
13.27,138,0.051
13.27,139,0.085
13.27,140,0.051
13.27,141,0.046
13.27,142,0.047
13.27,143,0.048
13.27,144,0.048
13.27,145,0.045
13.27,146,0.088
13.27,147,0.026
13.27,148,0.068
13.27,149,0.043
13.27,150,0.046
13.27,151,0.058
13.27,152,0.015
13.27,153,0.045
13.27,154,0.063
13.27,155,0.052
13.27,156,0.008
13.27,157,0.082
13.27,158,0.007
13.27,159,0.041
13.27,160,0.014
13.27,161,0.049
13.27,162,0.057
13.27,163,0.042
13.27,164,0.067
13.27,165,0.057
13.27,166,0.046
13.27,167,0.046
13.27,168,0.045
13.27,169,0.043
13.27,170,0.005
13.27,171,0.05
13.27,172,0.06
13.27,173,0.043
13.27,174,0.006
13.27,175,0.041
13.27,176,0.043
13.27,177,0.005
13.27,178,0.048
13.27,179,0.005
13.27,180,0.059
13.27,181,0.042
13.27,182,0.076
13.27,183,0.042
13.27,184,0.005
13.27,185,0.042
13.27,186,0.02
13.27,187,0.041
13.27,188,0.041
13.27,189,0.045
13.27,190,0.043
13.27,191,0.006
13.27,192,0.055
13.27,193,0.052
13.27,194,0.052
13.27,195,0.008
13.27,196,0.049
13.27,197,0.045
13.27,198,0.046
13.27,199,0.008
13.27,200,0.042
13.27,201,0.044
13.27,202,0.043
13.27,203,0.051
13.27,204,0.043
13.27,205,0.063
13.27,206,0.045
13.27,207,0.055
13.27,208,0.04
13.27,209,0.046
13.27,210,0.049
13.27,211,0.045
13.27,212,0.046
13.27,213,0.045
13.27,214,0.057
13.27,215,0.045
13.27,216,0.05
13.27,217,0.047
13.27,218,0.005
13.27,219,0.01
13.27,220,0.044
13.27,221,0.041
13.27,222,0.048
13.27,223,0.043
13.27,224,0.045
13.27,225,0.049
13.27,226,0.043
13.27,227,0.005
13.27,228,0.004
13.27,229,0.011
13.27,230,0.01
13.27,231,0.05
13.27,232,0.043
13.27,233,0.026
13.27,234,0.043
13.27,235,0.04
13.27,236,0.046
13.27,237,0.04
13.27,238,0.008
13.27,239,0.016
13.27,240,0.057
13.27,241,0.045
13.27,242,0.042
13.27,243,0.043
13.27,244,0.047
13.27,245,0.046
13.27,246,0.008
13.27,247,0.01
13.27,248,0.052
13.27,249,0.051
13.27,250,0.044
13.27,251,0.043
13.27,252,0.043
13.27,253,0.047
13.27,254,0.045
13.27,255,0.008
13.27,256,0.044
13.27,257,0.006
13.27,258,0.006
13.27,259,0.011
13.27,260,0.05
13.27,261,0.043
13.27,262,0.043
13.27,263,0.045
