Mean,Count,Service Time
1.4408822457475898E9,0,0.035
1.4408822457475898E9,1,0.007
1.4408822457475898E9,2,0.01
1.4408822457475898E9,3,0.014
1.4408822457475898E9,4,0.023
1.4408822457475898E9,5,0.014
1.4408822457475898E9,6,0.066
1.4408822457475898E9,7,0.062
1.4408822457475898E9,8,0.013
1.4408822457475898E9,9,0.011
1.4408822457475898E9,10,0.016
1.4408822457475898E9,11,0.022
1.4408822457475898E9,12,0.006
1.4408822457475898E9,13,0.02
1.4408822457475898E9,14,0.01
1.4408822457475898E9,15,0.024
1.4408822457475898E9,16,0.047
1.4408822457475898E9,17,0.044
1.4408822457475898E9,18,0.006
1.4408822457475898E9,19,0.006
1.4408822457475898E9,20,0.063
1.4408822457475898E9,21,0.044
1.4408822457475898E9,22,0.049
1.4408822457475898E9,23,0.051
1.4408822457475898E9,24,0.007
1.4408822457475898E9,25,0.084
1.4408822457475898E9,26,0.009
1.4408822457475898E9,27,0.045
1.4408822457475898E9,28,0.042
1.4408822457475898E9,29,0.006
1.4408822457475898E9,30,0.013
1.4408822457475898E9,31,0.044
1.4408822457475898E9,32,0.044
1.4408822457475898E9,33,0.044
1.4408822457475898E9,34,0.006
1.4408822457475898E9,35,0.05
1.4408822457475898E9,36,0.007
1.4408822457475898E9,37,0.021
1.4408822457475898E9,38,0.006
1.4408822457475898E9,39,0.004
1.4408822457475898E9,40,0.004
1.4408822457475898E9,41,0.014
1.4408822457475898E9,42,0.051
1.4408822457475898E9,43,0.012
1.4408822457475898E9,44,0.009
1.4408822457475898E9,45,0.022
1.4408822457475898E9,46,0.059
1.4408822457475898E9,47,0.047
1.4408822457475898E9,48,0.053
1.4408822457475898E9,49,0.009
1.4408822457475898E9,50,0.043
1.4408822457475898E9,51,0.072
1.4408822457475898E9,52,0.022
1.4408822457475898E9,53,0.051
1.4408822457475898E9,54,0.064
1.4408822457475898E9,55,0.014
1.4408822457475898E9,56,0.028
1.4408822457475898E9,57,0.091
1.4408822457475898E9,58,0.044
1.4408822457475898E9,59,0.051
1.4408822457475898E9,60,0.052
1.4408822457475898E9,61,0.045
1.4408822457475898E9,62,0.047
1.4408822457475898E9,63,0.052
1.4408822457475898E9,64,0.047
1.4408822457475898E9,65,0.005
1.4408822457475898E9,66,0.076
1.4408822457475898E9,67,0.008
1.4408822457475898E9,68,0.011
1.4408822457475898E9,69,0.052
1.4408822457475898E9,70,0.067
1.4408822457475898E9,71,0.013
1.4408822457475898E9,72,0.006
1.4408822457475898E9,73,0.061
1.4408822457475898E9,74,0.011
1.4408822457475898E9,75,0.01
1.4408822457475898E9,76,0.014
1.4408822457475898E9,77,0.051
1.4408822457475898E9,78,0.005
1.4408822457475898E9,79,0.006
1.4408822457475898E9,80,0.048
1.4408822457475898E9,81,0.06
1.4408822457475898E9,82,0.005
1.4408822457475898E9,83,0.007
1.4408822457475898E9,84,0.009
1.4408822457475898E9,85,0.005
1.4408822457475898E9,86,0.011
1.4408822457475898E9,87,0.066
1.4408822457475898E9,88,0.008
1.4408822457475898E9,89,0.048
1.4408822457475898E9,90,0.007
1.4408822457475898E9,91,0.014
1.4408822457475898E9,92,0.043
1.4408822457475898E9,93,0.046
1.4408822457475898E9,94,0.008
1.4408822457475898E9,95,0.009
1.4408822457475898E9,96,0.044
1.4408822457475898E9,97,0.005
1.4408822457475898E9,98,0.006
1.4408822457475898E9,99,0.012
1.4408822457475898E9,100,0.069
1.4408822457475898E9,101,0.051
1.4408822457475898E9,102,0.009
1.4408822457475898E9,103,0.019
1.4408822457475898E9,104,0.005
1.4408822457475898E9,105,0.058
1.4408822457475898E9,106,0.005
1.4408822457475898E9,107,0.041
1.4408822457475898E9,108,0.043
1.4408822457475898E9,109,0.007
1.4408822457475898E9,110,0.058
1.4408822457475898E9,111,0.049
1.4408822457475898E9,112,0.013
1.4408822457475898E9,113,0.046
1.4408822457475898E9,114,0.048
1.4408822457475898E9,115,0.044
1.4408822457475898E9,116,0.021
1.4408822457475898E9,117,0.014
1.4408822457475898E9,118,0.045
1.4408822457475898E9,119,0.056
1.4408822457475898E9,120,0.043
1.4408822457475898E9,121,0.004
1.4408822457475898E9,122,0.005
1.4408822457475898E9,123,0.006
1.4408822457475898E9,124,0.01
1.4408822457475898E9,125,0.027
1.4408822457475898E9,126,0.005
1.4408822457475898E9,127,0.058
1.4408822457475898E9,128,0.048
1.4408822457475898E9,129,0.044
1.4408822457475898E9,130,0.051
1.4408822457475898E9,131,0.046
1.4408822457475898E9,132,0.047
1.4408822457475898E9,133,0.06
1.4408822457475898E9,134,0.012
1.4408822457475898E9,135,0.007
1.4408822457475898E9,136,0.043
1.4408822457475898E9,137,0.044
1.4408822457475898E9,138,0.007
1.4408822457475898E9,139,0.044
1.4408822457475898E9,140,0.047
1.4408822457475898E9,141,0.05
1.4408822457475898E9,142,0.051
1.4408822457475898E9,143,0.088
1.4408822457475898E9,144,0.012
1.4408822457475898E9,145,0.063
1.4408822457475898E9,146,0.055
1.4408822457475898E9,147,0.007
1.4408822457475898E9,148,0.032
1.4408822457475898E9,149,0.049
1.4408822457475898E9,150,0.005
1.4408822457475898E9,151,0.004
1.4408822457475898E9,152,0.043
1.4408822457475898E9,153,0.046
1.4408822457475898E9,154,0.012
1.4408822457475898E9,155,0.012
1.4408822457475898E9,156,0.046
1.4408822457475898E9,157,0.043
1.4408822457475898E9,158,0.005
1.4408822457475898E9,159,0.006
1.4408822457475898E9,160,0.008
1.4408822457475898E9,161,0.043
1.4408822457475898E9,162,0.044
1.4408822457475898E9,163,0.043
1.4408822457475898E9,164,0.044
1.4408822457475898E9,165,0.067
1.4408822457475898E9,166,0.056
1.4408822457475898E9,167,0.044
1.4408822457475898E9,168,0.009
1.4408822457475898E9,169,0.054
1.4408822457475898E9,170,0.043
1.4408822457475898E9,171,0.047
1.4408822457475898E9,172,0.044
1.4408822457475898E9,173,0.044
1.4408822457475898E9,174,0.069
1.4408822457475898E9,175,0.005
1.4408822457475898E9,176,0.046
1.4408822457475898E9,177,0.044
1.4408822457475898E9,178,0.056
1.4408822457475898E9,179,0.064
1.4408822457475898E9,180,0.004
1.4408822457475898E9,181,0.014
1.4408822457475898E9,182,0.045
1.4408822457475898E9,183,0.043
1.4408822457475898E9,184,0.005
1.4408822457475898E9,185,0.024
1.4408822457475898E9,186,0.046
1.4408822457475898E9,187,0.044
1.4408822457475898E9,188,0.044
1.4408822457475898E9,189,0.044
1.4408822457475898E9,190,0.045
1.4408822457475898E9,191,0.042
1.4408822457475898E9,192,0.004
1.4408822457475898E9,193,0.044
1.4408822457475898E9,194,0.052
1.4408822457475898E9,195,0.043
1.4408822457475898E9,196,0.044
1.4408822457475898E9,197,0.036
1.4408822457475898E9,198,0.062
1.4408822457475898E9,199,0.048
1.4408822457475898E9,200,0.044
1.4408822457475898E9,201,0.044
1.4408822457475898E9,202,0.044
1.4408822457475898E9,203,0.044
1.4408822457475898E9,204,0.044
1.4408822457475898E9,205,0.081
1.4408822457475898E9,206,0.005
1.4408822457475898E9,207,0.046
1.4408822457475898E9,208,0.061
1.4408822457475898E9,209,0.005
1.4408822457475898E9,210,0.015
1.4408822457475898E9,211,0.007
1.4408822457475898E9,212,0.044
1.4408822457475898E9,213,0.062
1.4408822457475898E9,214,0.008
1.4408822457475898E9,215,0.007
1.4408822457475898E9,216,0.054
1.4408822457475898E9,217,0.044
1.4408822457475898E9,218,0.051
1.4408822457475898E9,219,0.009
1.4408822457475898E9,220,0.044
1.4408822457475898E9,221,0.009
1.4408822457475898E9,222,0.046
1.4408822457475898E9,223,0.047
1.4408822457475898E9,224,0.043
1.4408822457475898E9,225,0.044
1.4408822457475898E9,226,0.068
1.4408822457475898E9,227,0.044
1.4408822457475898E9,228,0.044
1.4408822457475898E9,229,0.056
1.4408822457475898E9,230,0.048
1.4408822457475898E9,231,0.026
1.4408822457475898E9,232,0.01
1.4408822457475898E9,233,0.009
1.4408822457475898E9,234,0.04
1.4408822457475898E9,235,0.069
1.4408822457475898E9,236,0.017
1.4408822457475898E9,237,0.079
1.4408822457475898E9,238,0.045
1.4408822457475898E9,239,0.02
1.4408822457475898E9,240,0.085
1.4408822457475898E9,241,0.045
1.4408822457475898E9,242,0.042
1.4408822457475898E9,243,0.043
1.4408822457475898E9,244,0.064
1.4408822457475898E9,245,0.059
1.4408822457475898E9,246,0.01
1.4408822457475898E9,247,0.043
1.4408822457475898E9,248,0.005
1.4408822457475898E9,249,0.009
1.4408822457475898E9,250,0.007
1.4408822457475898E9,251,0.019
1.4408822457475898E9,252,0.041
1.4408822457475898E9,253,0.011
1.4408822457475898E9,254,0.049
1.4408822457475898E9,255,0.005
1.4408822457475898E9,256,0.05
1.4408822457475898E9,257,0.056
1.4408822457475898E9,258,0.005
1.4408822457475898E9,259,0.016
1.4408822457475898E9,260,0.012
1.4408822457475898E9,261,0.069
1.4408822457475898E9,262,0.005
1.4408822457475898E9,263,0.055
1.4408822457475898E9,264,0.006
1.4408822457475898E9,265,0.045
1.4408822457475898E9,266,0.044
1.4408822457475898E9,267,0.047
1.4408822457475898E9,268,0.006
1.4408822457475898E9,269,0.049
1.4408822457475898E9,270,0.044
1.4408822457475898E9,271,0.064
1.4408822457475898E9,272,0.01
1.4408822457475898E9,273,0.057
1.4408822457475898E9,274,0.06
1.4408822457475898E9,275,0.044
1.4408822457475898E9,276,0.043
1.4408822457475898E9,277,0.048
1.4408822457475898E9,278,0.044
1.4408822457475898E9,279,0.053
1.4408822457475898E9,280,0.085
1.4408822457475898E9,281,0.046
1.4408822457475898E9,282,0.045
1.4408822457475898E9,283,0.074
1.4408822457475898E9,284,0.004
1.4408822457475898E9,285,0.008
1.4408822457475898E9,286,0.055
1.4408822457475898E9,287,0.045
1.4408822457475898E9,288,0.043
1.4408822457475898E9,289,0.048
1.4408822457475898E9,290,0.005
1.4408822457475898E9,291,0.063
1.4408822457475898E9,292,0.007
1.4408822457475898E9,293,0.044
1.4408822457475898E9,294,0.056
1.4408822457475898E9,295,0.043
1.4408822457475898E9,296,0.044
1.4408822457475898E9,297,0.048
1.4408822457475898E9,298,0.044
1.4408822457475898E9,299,0.008
1.4408822457475898E9,300,0.011
1.4408822457475898E9,301,0.018
1.4408822457475898E9,302,0.067
1.4408822457475898E9,303,0.022
1.4408822457475898E9,304,0.052
1.4408822457475898E9,305,0.008
1.4408822457475898E9,306,0.044
1.4408822457475898E9,307,0.004
1.4408822457475898E9,308,0.004
1.4408822457475898E9,309,0.016
1.4408822457475898E9,310,0.011
1.4408822457475898E9,311,0.045
1.4408822457475898E9,312,0.048
1.4408822457475898E9,313,0.005
1.4408822457475898E9,314,0.049
1.4408822457475898E9,315,0.049
1.4408822457475898E9,316,0.044
1.4408822457475898E9,317,0.044
1.4408822457475898E9,318,0.044
1.4408822457475898E9,319,0.044
1.4408822457475898E9,320,0.048
1.4408822457475898E9,321,0.044
1.4408822457475898E9,322,0.009
1.4408822457475898E9,323,0.042
1.4408822457475898E9,324,0.008
1.4408822457475898E9,325,0.006
1.4408822457475898E9,326,0.06
1.4408822457475898E9,327,0.044
1.4408822457475898E9,328,0.043
1.4408822457475898E9,329,0.005
1.4408822457475898E9,330,0.008
1.4408822457475898E9,331,0.014
1.4408822457475898E9,332,0.029
1.4408822457475898E9,333,0.006
1.4408822457475898E9,334,0.023
1.4408822457475898E9,335,0.008
1.4408822457475898E9,336,0.028
1.4408822457475898E9,337,0.006
1.4408822457475898E9,338,0.063
1.4408822457475898E9,339,0.044
1.4408822457475898E9,340,0.066
1.4408822457475898E9,341,0.009
1.4408822457475898E9,342,0.044
1.4408822457475898E9,343,0.049
1.4408822457475898E9,344,0.007
1.4408822457475898E9,345,0.064
1.4408822457475898E9,346,0.025
1.4408822457475898E9,347,0.021
1.4408822457475898E9,348,0.041
1.4408822457475898E9,349,0.047
1.4408822457475898E9,350,0.005
1.4408822457475898E9,351,0.005
1.4408822457475898E9,352,0.005
1.4408822457475898E9,353,0.01
1.4408822457475898E9,354,0.029
1.4408822457475898E9,355,0.043
1.4408822457475898E9,356,0.017
1.4408822457475898E9,357,0.043
1.4408822457475898E9,358,0.006
1.4408822457475898E9,359,0.046
1.4408822457475898E9,360,0.004
1.4408822457475898E9,361,0.006
1.4408822457475898E9,362,0.054
1.4408822457475898E9,363,0.044
1.4408822457475898E9,364,0.013
1.4408822457475898E9,365,0.004
1.4408822457475898E9,366,0.004
1.4408822457475898E9,367,0.058
1.4408822457475898E9,368,0.005
1.4408822457475898E9,369,0.004
1.4408822457475898E9,370,0.004
1.4408822457475898E9,371,0.047
1.4408822457475898E9,372,0.049
1.4408822457475898E9,373,0.005
1.4408822457475898E9,374,0.005
1.4408822457475898E9,375,0.057
1.4408822457475898E9,376,0.044
1.4408822457475898E9,377,0.005
1.4408822457475898E9,378,0.005
1.4408822457475898E9,379,0.046
1.4408822457475898E9,380,0.043
1.4408822457475898E9,381,0.05
1.4408822457475898E9,382,0.046
1.4408822457475898E9,383,0.045
1.4408822457475898E9,384,0.009
1.4408822457475898E9,385,0.015
1.4408822457475898E9,386,0.044
1.4408822457475898E9,387,0.044
1.4408822457475898E9,388,0.005
1.4408822457475898E9,389,0.004
1.4408822457475898E9,390,0.011
1.4408822457475898E9,391,0.006
1.4408822457475898E9,392,0.023
1.4408822457475898E9,393,0.044
1.4408822457475898E9,394,0.043
1.4408822457475898E9,395,0.044
1.4408822457475898E9,396,0.049
1.4408822457475898E9,397,0.045
1.4408822457475898E9,398,0.045
1.4408822457475898E9,399,0.048
1.4408822457475898E9,400,0.008
1.4408822457475898E9,401,0.044
1.4408822457475898E9,402,0.06
1.4408822457475898E9,403,0.007
1.4408822457475898E9,404,0.007
1.4408822457475898E9,405,0.02
1.4408822457475898E9,406,0.062
1.4408822457475898E9,407,0.044
1.4408822457475898E9,408,0.044
1.4408822457475898E9,409,0.048
1.4408822457475898E9,410,0.044
1.4408822457475898E9,411,0.004
1.4408822457475898E9,412,0.044
1.4408822457475898E9,413,0.004
1.4408822457475898E9,414,0.044
1.4408822457475898E9,415,0.044
1.4408822457475898E9,416,0.044
1.4408822457475898E9,417,0.043
1.4408822457475898E9,418,0.04
1.4408822457475898E9,419,0.006
1.4408822457475898E9,420,0.044
1.4408822457475898E9,421,0.044
1.4408822457475898E9,422,0.044
1.4408822457475898E9,423,0.009
1.4408822457475898E9,424,0.062
1.4408822457475898E9,425,0.043
1.4408822457475898E9,426,0.044
1.4408822457475898E9,427,0.044
1.4408822457475898E9,428,0.068
1.4408822457475898E9,429,0.044
1.4408822457475898E9,430,0.083
1.4408822457475898E9,431,0.041
1.4408822457475898E9,432,0.044
1.4408822457475898E9,433,0.044
1.4408822457475898E9,434,0.087
1.4408822457475898E9,435,0.044
1.4408822457475898E9,436,0.009
1.4408822457475898E9,437,0.043
1.4408822457475898E9,438,0.015
1.4408822457475898E9,439,0.044
1.4408822457475898E9,440,0.004
1.4408822457475898E9,441,0.008
1.4408822457475898E9,442,0.003
1.4408822457475898E9,443,0.003
1.4408822457475898E9,444,0.031
1.4408822457475898E9,445,0.04
1.4408822457475898E9,446,0.005
1.4408822457475898E9,447,0.051
1.4408822457475898E9,448,0.006
1.4408822457475898E9,449,0.041
1.4408822457475898E9,450,0.044
1.4408822457475898E9,451,0.044
1.4408822457475898E9,452,0.044
1.4408822457475898E9,453,0.047
1.4408822457475898E9,454,0.011
1.4408822457475898E9,455,0.052
1.4408822457475898E9,456,0.041
1.4408822457475898E9,457,0.006
1.4408822457475898E9,458,0.042
1.4408822457475898E9,459,0.009
1.4408822457475898E9,460,0.006
1.4408822457475898E9,461,0.056
1.4408822457475898E9,462,0.005
1.4408822457475898E9,463,0.046
1.4408822457475898E9,464,0.026
1.4408822457475898E9,465,0.046
1.4408822457475898E9,466,0.043
1.4408822457475898E9,467,0.006
1.4408822457475898E9,468,0.049
1.4408822457475898E9,469,0.005
1.4408822457475898E9,470,0.043
1.4408822457475898E9,471,0.041
1.4408822457475898E9,472,0.008
1.4408822457475898E9,473,0.043
1.4408822457475898E9,474,0.06
1.4408822457475898E9,475,0.007
1.4408822457475898E9,476,0.004
1.4408822457475898E9,477,0.004
1.4408822457475898E9,478,0.004
1.4408822457475898E9,479,0.043
1.4408822457475898E9,480,0.043
1.4408822457475898E9,481,0.044
1.4408822457475898E9,482,0.011
1.4408822457475898E9,483,0.007
1.4408822457475898E9,484,0.005
1.4408822457475898E9,485,0.027
1.4408822457475898E9,486,0.051
1.4408822457475898E9,487,0.054
1.4408822457475898E9,488,0.048
1.4408822457475898E9,489,0.007
1.4408822457475898E9,490,0.007
1.4408822457475898E9,491,0.042
1.4408822457475898E9,492,0.048
1.4408822457475898E9,493,0.044
1.4408822457475898E9,494,0.009
1.4408822457475898E9,495,0.065
1.4408822457475898E9,496,0.051
1.4408822457475898E9,497,0.048
1.4408822457475898E9,498,0.044
1.4408822457475898E9,499,0.041
1.4408822457475898E9,500,0.051
1.4408822457475898E9,501,0.041
1.4408822457475898E9,502,0.041
1.4408822457475898E9,503,0.044
1.4408822457475898E9,504,0.004
1.4408822457475898E9,505,0.044
1.4408822457475898E9,506,0.044
1.4408822457475898E9,507,0.044
1.4408822457475898E9,508,0.009
1.4408822457475898E9,509,0.008
1.4408822457475898E9,510,0.022
1.4408822457475898E9,511,0.063
1.4408822457475898E9,512,0.004
1.4408822457475898E9,513,0.004
1.4408822457475898E9,514,0.003
1.4408822457475898E9,515,0.012
1.4408822457475898E9,516,0.025
1.4408822457475898E9,517,0.007
1.4408822457475898E9,518,0.063
1.4408822457475898E9,519,0.045
1.4408822457475898E9,520,0.003
1.4408822457475898E9,521,0.004
1.4408822457475898E9,522,0.008
