Mean,Count,Service Time
1.4414199155310616E9,0,0.047
1.4414199155310616E9,1,0.005
1.4414199155310616E9,2,0.041
1.4414199155310616E9,3,0.082
1.4414199155310616E9,4,0.049
1.4414199155310616E9,5,0.047
1.4414199155310616E9,6,0.052
1.4414199155310616E9,7,0.013
1.4414199155310616E9,8,0.006
1.4414199155310616E9,9,0.051
1.4414199155310616E9,10,0.009
1.4414199155310616E9,11,0.012
1.4414199155310616E9,12,0.046
1.4414199155310616E9,13,0.005
1.4414199155310616E9,14,0.015
1.4414199155310616E9,15,0.056
1.4414199155310616E9,16,0.007
1.4414199155310616E9,17,0.044
1.4414199155310616E9,18,0.008
1.4414199155310616E9,19,0.007
1.4414199155310616E9,20,0.041
1.4414199155310616E9,21,0.02
1.4414199155310616E9,22,0.045
1.4414199155310616E9,23,0.044
1.4414199155310616E9,24,0.044
1.4414199155310616E9,25,0.006
1.4414199155310616E9,26,0.059
1.4414199155310616E9,27,0.046
1.4414199155310616E9,28,0.043
1.4414199155310616E9,29,0.054
1.4414199155310616E9,30,0.012
1.4414199155310616E9,31,0.02
1.4414199155310616E9,32,0.024
1.4414199155310616E9,33,0.064
1.4414199155310616E9,34,0.021
1.4414199155310616E9,35,0.059
1.4414199155310616E9,36,0.047
1.4414199155310616E9,37,0.052
1.4414199155310616E9,38,0.006
1.4414199155310616E9,39,0.014
1.4414199155310616E9,40,0.022
1.4414199155310616E9,41,0.062
1.4414199155310616E9,42,0.024
1.4414199155310616E9,43,0.041
1.4414199155310616E9,44,0.05
1.4414199155310616E9,45,0.007
1.4414199155310616E9,46,0.044
1.4414199155310616E9,47,0.048
1.4414199155310616E9,48,0.044
1.4414199155310616E9,49,0.049
1.4414199155310616E9,50,0.053
1.4414199155310616E9,51,0.01
1.4414199155310616E9,52,0.054
1.4414199155310616E9,53,0.044
1.4414199155310616E9,54,0.043
1.4414199155310616E9,55,0.044
1.4414199155310616E9,56,0.045
1.4414199155310616E9,57,0.023
1.4414199155310616E9,58,0.025
1.4414199155310616E9,59,0.015
1.4414199155310616E9,60,0.012
1.4414199155310616E9,61,0.083
1.4414199155310616E9,62,0.016
1.4414199155310616E9,63,0.009
1.4414199155310616E9,64,0.012
1.4414199155310616E9,65,0.007
1.4414199155310616E9,66,0.026
1.4414199155310616E9,67,0.028
1.4414199155310616E9,68,0.007
1.4414199155310616E9,69,0.02
1.4414199155310616E9,70,0.043
1.4414199155310616E9,71,0.044
1.4414199155310616E9,72,0.044
1.4414199155310616E9,73,0.044
1.4414199155310616E9,74,0.044
1.4414199155310616E9,75,0.043
1.4414199155310616E9,76,0.044
1.4414199155310616E9,77,0.006
1.4414199155310616E9,78,0.011
1.4414199155310616E9,79,0.05
1.4414199155310616E9,80,0.049
1.4414199155310616E9,81,0.043
1.4414199155310616E9,82,0.049
1.4414199155310616E9,83,0.054
1.4414199155310616E9,84,0.045
1.4414199155310616E9,85,0.037
1.4414199155310616E9,86,0.05
1.4414199155310616E9,87,0.009
1.4414199155310616E9,88,0.006
1.4414199155310616E9,89,0.054
1.4414199155310616E9,90,0.061
1.4414199155310616E9,91,0.069
1.4414199155310616E9,92,0.01
1.4414199155310616E9,93,0.021
1.4414199155310616E9,94,0.013
1.4414199155310616E9,95,0.056
1.4414199155310616E9,96,0.037
1.4414199155310616E9,97,0.057
1.4414199155310616E9,98,0.047
1.4414199155310616E9,99,0.056
1.4414199155310616E9,100,0.06
1.4414199155310616E9,101,0.047
1.4414199155310616E9,102,0.061
1.4414199155310616E9,103,0.054
1.4414199155310616E9,104,0.05
1.4414199155310616E9,105,0.052
1.4414199155310616E9,106,0.047
1.4414199155310616E9,107,0.048
1.4414199155310616E9,108,0.043
1.4414199155310616E9,109,0.044
1.4414199155310616E9,110,0.013
1.4414199155310616E9,111,0.046
1.4414199155310616E9,112,0.01
1.4414199155310616E9,113,0.049
1.4414199155310616E9,114,0.047
1.4414199155310616E9,115,0.049
1.4414199155310616E9,116,0.055
1.4414199155310616E9,117,0.058
