Mean,Count,Service Time
2.0,0,0.586
2.0,1,0.051
2.0,2,0.043
2.0,3,0.049
2.0,4,0.051
2.0,5,0.02
2.0,6,0.015
2.0,7,0.011
2.0,8,0.019
2.0,9,0.013
2.0,10,0.049
2.0,11,0.014
2.0,12,0.038
2.0,13,0.058
2.0,14,0.013
2.0,15,0.015
2.0,16,0.016
2.0,17,0.023
2.0,18,0.007
2.0,19,0.046
2.0,20,0.02
2.0,21,0.064
2.0,22,0.022
2.0,23,0.031
2.0,24,0.026
2.0,25,0.056
2.0,26,0.031
2.0,27,0.015
2.0,28,0.012
2.0,29,0.02
2.0,30,0.053
2.0,31,0.014
2.0,32,0.045
2.0,33,0.053
2.0,34,0.006
2.0,35,0.046
2.0,36,0.024
2.0,37,0.01
2.0,38,0.005
2.0,39,0.005
2.0,40,0.008
2.0,41,0.013
2.0,42,0.042
2.0,43,0.043
2.0,44,0.023
2.0,45,0.006
2.0,46,0.006
2.0,47,0.012
2.0,48,0.013
2.0,49,0.007
2.0,50,0.006
2.0,51,0.054
2.0,52,0.006
2.0,53,0.045
2.0,54,0.006
2.0,55,0.019
2.0,56,0.006
2.0,57,0.006
2.0,58,0.007
2.0,59,0.006
2.0,60,0.017
2.0,61,0.005
2.0,62,0.014
2.0,63,0.027
2.0,64,0.007
2.0,65,0.058
2.0,66,0.009
2.0,67,0.008
2.0,68,0.06
2.0,69,0.007
2.0,70,0.009
2.0,71,0.007
2.0,72,0.007
2.0,73,0.027
2.0,74,0.015
2.0,75,0.024
2.0,76,0.015
2.0,77,0.01
2.0,78,0.006
2.0,79,0.009
2.0,80,0.047
2.0,81,0.007
2.0,82,0.045
2.0,83,0.017
2.0,84,0.007
2.0,85,0.05
2.0,86,0.049
2.0,87,0.006
2.0,88,0.011
2.0,89,0.046
2.0,90,0.077
2.0,91,0.011
2.0,92,0.011
2.0,93,0.01
2.0,94,0.049
2.0,95,0.047
2.0,96,0.006
2.0,97,0.043
2.0,98,0.051
2.0,99,0.052
2.0,100,0.053
2.0,101,0.081
2.0,102,0.043
2.0,103,0.038
2.0,104,0.017
2.0,105,0.044
2.0,106,0.047
2.0,107,0.043
2.0,108,0.05
2.0,109,0.008
2.0,110,0.046
2.0,111,0.05
2.0,112,0.061
2.0,113,0.023
2.0,114,0.012
2.0,115,0.051
2.0,116,0.061
2.0,117,0.038
2.0,118,0.045
2.0,119,0.043
2.0,120,0.017
2.0,121,0.063
2.0,122,0.022
2.0,123,0.033
2.0,124,0.023
2.0,125,0.048
2.0,126,0.008
2.0,127,0.048
2.0,128,0.007
2.0,129,0.046
2.0,130,0.049
2.0,131,0.009
2.0,132,0.058
2.0,133,0.019
2.0,134,0.046
2.0,135,0.046
2.0,136,0.046
2.0,137,0.046
2.0,138,0.007
2.0,139,0.007
2.0,140,0.019
2.0,141,0.028
2.0,142,0.01
2.0,143,0.088
2.0,144,0.02
2.0,145,0.005
2.0,146,0.011
2.0,147,0.026
2.0,148,0.021
2.0,149,0.011
2.0,150,0.018
2.0,151,0.045
2.0,152,0.045
2.0,153,0.043
2.0,154,0.043
2.0,155,0.042
2.0,156,0.042
2.0,157,0.042
2.0,158,0.046
2.0,159,0.044
2.0,160,0.046
2.0,161,0.046
2.0,162,0.047
2.0,163,0.042
2.0,164,0.093
2.0,165,0.05
2.0,166,0.046
2.0,167,0.047
2.0,168,0.052
2.0,169,0.02
2.0,170,0.045
2.0,171,0.092
2.0,172,0.086
2.0,173,0.019
2.0,174,0.051
2.0,175,0.051
2.0,176,0.054
2.0,177,0.049
2.0,178,0.052
2.0,179,0.056
2.0,180,0.049
2.0,181,0.045
2.0,182,0.043
2.0,183,0.069
2.0,184,0.055
2.0,185,0.054
2.0,186,0.012
2.0,187,0.081
2.0,188,0.062
2.0,189,0.062
2.0,190,0.02
2.0,191,0.022
2.0,192,0.049
2.0,193,0.048
2.0,194,0.079
2.0,195,0.031
2.0,196,0.017
2.0,197,0.055
2.0,198,0.008
2.0,199,0.051
2.0,200,0.063
2.0,201,0.019
2.0,202,0.049
2.0,203,0.047
2.0,204,0.053
2.0,205,0.053
2.0,206,0.047
2.0,207,0.074
2.0,208,0.01
2.0,209,0.058
2.0,210,0.047
2.0,211,0.049
2.0,212,0.046
2.0,213,0.046
2.0,214,0.053
2.0,215,0.078
2.0,216,0.051
2.0,217,0.049
2.0,218,0.06
2.0,219,0.046
2.0,220,0.045
2.0,221,0.045
2.0,222,0.046
2.0,223,0.045
2.0,224,0.044
2.0,225,0.009
2.0,226,0.044
2.0,227,0.053
2.0,228,0.042
2.0,229,0.056
2.0,230,0.043
2.0,231,0.045
2.0,232,0.043
2.0,233,0.033
2.0,234,0.045
2.0,235,0.076
2.0,236,0.017
2.0,237,0.056
2.0,238,0.059
2.0,239,0.047
2.0,240,0.015
2.0,241,0.047
2.0,242,0.056
2.0,243,0.011
2.0,244,0.042
2.0,245,0.054
2.0,246,0.046
2.0,247,0.05
2.0,248,0.053
2.0,249,0.056
2.0,250,0.047
2.0,251,0.056
2.0,252,0.088
2.0,253,0.068
2.0,254,0.03
2.0,255,0.053
2.0,256,0.045
2.0,257,0.096
2.0,258,0.006
2.0,259,0.047
2.0,260,0.042
2.0,261,0.06
2.0,262,0.007
2.0,263,0.046
2.0,264,0.045
2.0,265,0.047
2.0,266,0.053
2.0,267,0.05
2.0,268,0.049
2.0,269,0.073
2.0,270,0.051
2.0,271,0.054
2.0,272,0.062
2.0,273,0.059
2.0,274,0.054
2.0,275,0.011
2.0,276,0.045
2.0,277,0.045
2.0,278,0.046
2.0,279,0.008
2.0,280,0.048
2.0,281,0.048
2.0,282,0.014
2.0,283,0.02
2.0,284,0.06
2.0,285,0.056
2.0,286,0.061
2.0,287,0.009
2.0,288,0.046
2.0,289,0.02
2.0,290,0.044
2.0,291,0.04
2.0,292,0.083
2.0,293,0.051
2.0,294,0.055
2.0,295,0.007
2.0,296,0.007
2.0,297,0.041
2.0,298,0.062
2.0,299,0.012
2.0,300,0.022
2.0,301,0.046
2.0,302,0.071
2.0,303,0.013
2.0,304,0.042
2.0,305,0.012
2.0,306,0.024
2.0,307,0.077
2.0,308,0.045
2.0,309,0.057
2.0,310,0.046
2.0,311,0.05
2.0,312,0.049
2.0,313,0.017
2.0,314,0.053
2.0,315,0.017
2.0,316,0.052
2.0,317,0.045
2.0,318,0.048
2.0,319,0.066
2.0,320,0.008
2.0,321,0.047
2.0,322,0.045
2.0,323,0.046
2.0,324,0.044
2.0,325,0.048
2.0,326,0.049
2.0,327,0.041
2.0,328,0.044
2.0,329,0.06
2.0,330,0.048
2.0,331,0.006
2.0,332,0.046
2.0,333,0.041
2.0,334,0.047
2.0,335,0.065
2.0,336,0.047
2.0,337,0.052
2.0,338,0.011
2.0,339,0.037
2.0,340,0.058
2.0,341,0.016
2.0,342,0.049
2.0,343,0.066
2.0,344,0.051
2.0,345,0.019
2.0,346,0.063
2.0,347,0.077
2.0,348,0.079
2.0,349,0.045
2.0,350,0.013
2.0,351,0.053
2.0,352,0.051
2.0,353,0.048
2.0,354,0.053
2.0,355,0.046
2.0,356,0.01
2.0,357,0.03
2.0,358,0.064
2.0,359,0.046
2.0,360,0.048
2.0,361,0.053
2.0,362,0.048
2.0,363,0.024
2.0,364,0.051
2.0,365,0.01
2.0,366,0.052
2.0,367,0.046
2.0,368,0.009
2.0,369,0.047
2.0,370,0.044
