Mean,Count,Service Time
7.9999,0,0.66
7.9999,1,0.117
7.9999,2,0.058
7.9999,3,0.061
7.9999,4,0.094
7.9999,5,0.049
7.9999,6,0.061
7.9999,7,0.069
7.9999,8,0.069
7.9999,9,0.054
7.9999,10,0.044
7.9999,11,0.118
7.9999,12,0.066
7.9999,13,0.074
7.9999,14,0.092
7.9999,15,0.05
7.9999,16,0.067
7.9999,17,0.066
7.9999,18,0.069
7.9999,19,0.179
7.9999,20,0.084
7.9999,21,0.096
7.9999,22,0.108
7.9999,23,0.114
7.9999,24,0.098
7.9999,25,0.08
7.9999,26,0.101
7.9999,27,0.058
7.9999,28,0.091
7.9999,29,0.083
7.9999,30,0.089
7.9999,31,0.051
7.9999,32,0.081
7.9999,33,0.09
7.9999,34,0.063
7.9999,35,0.039
7.9999,36,0.087
7.9999,37,0.076
7.9999,38,0.086
7.9999,39,0.079
7.9999,40,0.067
7.9999,41,0.078
7.9999,42,0.078
7.9999,43,0.073
7.9999,44,0.065
7.9999,45,0.07
7.9999,46,0.033
7.9999,47,0.069
7.9999,48,0.045
7.9999,49,0.029
7.9999,50,0.023
7.9999,51,0.068
7.9999,52,0.072
7.9999,53,0.066
7.9999,54,0.067
7.9999,55,0.06
7.9999,56,0.063
7.9999,57,0.07
7.9999,58,0.055
7.9999,59,0.075
7.9999,60,0.022
7.9999,61,0.059
7.9999,62,0.027
7.9999,63,0.053
7.9999,64,0.053
7.9999,65,0.071
7.9999,66,0.051
7.9999,67,0.052
7.9999,68,0.011
7.9999,69,0.056
7.9999,70,0.112
7.9999,71,0.066
7.9999,72,0.025
7.9999,73,0.071
7.9999,74,0.067
7.9999,75,0.075
7.9999,76,0.051
7.9999,77,0.081
7.9999,78,0.057
7.9999,79,0.076
7.9999,80,0.051
7.9999,81,0.07
7.9999,82,0.056
7.9999,83,0.059
7.9999,84,0.071
7.9999,85,0.037
7.9999,86,0.032
7.9999,87,0.074
7.9999,88,0.063
7.9999,89,0.057
7.9999,90,0.106
7.9999,91,0.014
7.9999,92,0.057
7.9999,93,0.019
7.9999,94,0.064
7.9999,95,0.091
7.9999,96,0.055
7.9999,97,0.008
7.9999,98,0.08
7.9999,99,0.018
7.9999,100,0.047
7.9999,101,0.073
7.9999,102,0.064
7.9999,103,0.054
7.9999,104,0.076
7.9999,105,0.051
7.9999,106,0.064
7.9999,107,0.07
7.9999,108,0.052
7.9999,109,0.028
7.9999,110,0.011
7.9999,111,0.01
7.9999,112,0.012
7.9999,113,0.055
7.9999,114,0.062
7.9999,115,0.046
7.9999,116,0.054
7.9999,117,0.098
7.9999,118,0.026
7.9999,119,0.084
7.9999,120,0.033
7.9999,121,0.052
7.9999,122,0.014
7.9999,123,0.057
7.9999,124,0.057
7.9999,125,0.049
7.9999,126,0.053
7.9999,127,0.014
7.9999,128,0.06
7.9999,129,0.056
7.9999,130,0.048
7.9999,131,0.043
7.9999,132,0.065
7.9999,133,0.066
7.9999,134,0.051
7.9999,135,0.056
7.9999,136,0.102
7.9999,137,0.066
7.9999,138,0.065
7.9999,139,0.074
7.9999,140,0.046
7.9999,141,0.067
7.9999,142,0.047
7.9999,143,0.056
7.9999,144,0.067
7.9999,145,0.058
7.9999,146,0.055
7.9999,147,0.06
7.9999,148,0.047
7.9999,149,0.05
7.9999,150,0.055
7.9999,151,0.051
7.9999,152,0.068
7.9999,153,0.031
7.9999,154,0.04
7.9999,155,0.067
7.9999,156,0.053
7.9999,157,0.052
7.9999,158,0.051
7.9999,159,0.016
7.9999,160,0.045
7.9999,161,0.051
7.9999,162,0.06
7.9999,163,0.048
7.9999,164,0.045
7.9999,165,0.024
7.9999,166,0.051
7.9999,167,0.07
7.9999,168,0.045
7.9999,169,0.053
7.9999,170,0.01
7.9999,171,0.048
7.9999,172,0.014
7.9999,173,0.043
7.9999,174,0.051
7.9999,175,0.088
7.9999,176,0.014
7.9999,177,0.067
7.9999,178,0.073
7.9999,179,0.067
7.9999,180,0.021
7.9999,181,0.052
7.9999,182,0.02
7.9999,183,0.048
7.9999,184,0.047
7.9999,185,0.043
7.9999,186,0.006
7.9999,187,0.012
7.9999,188,0.042
7.9999,189,0.045
7.9999,190,0.049
7.9999,191,0.056
7.9999,192,0.094
7.9999,193,0.051
7.9999,194,0.083
7.9999,195,0.046
7.9999,196,0.017
7.9999,197,0.041
7.9999,198,0.008
7.9999,199,0.062
7.9999,200,0.01
7.9999,201,0.052
7.9999,202,0.109
7.9999,203,0.058
7.9999,204,0.044
7.9999,205,0.047
7.9999,206,0.006
7.9999,207,0.044
7.9999,208,0.049
7.9999,209,0.045
7.9999,210,0.048
7.9999,211,0.015
7.9999,212,0.045
7.9999,213,0.045
7.9999,214,0.072
7.9999,215,0.056
7.9999,216,0.053
7.9999,217,0.009
7.9999,218,0.051
7.9999,219,0.011
7.9999,220,0.067
7.9999,221,0.055
7.9999,222,0.014
7.9999,223,0.008
7.9999,224,0.046
7.9999,225,0.043
7.9999,226,0.005
7.9999,227,0.007
7.9999,228,0.055
7.9999,229,0.043
7.9999,230,0.05
7.9999,231,0.048
7.9999,232,0.078
7.9999,233,0.071
7.9999,234,0.094
7.9999,235,0.063
7.9999,236,0.07
7.9999,237,0.044
7.9999,238,0.081
7.9999,239,0.055
7.9999,240,0.062
7.9999,241,0.044
7.9999,242,0.011
7.9999,243,0.06
7.9999,244,0.01
7.9999,245,0.05
7.9999,246,0.005
7.9999,247,0.045
7.9999,248,0.046
7.9999,249,0.043
7.9999,250,0.005
7.9999,251,0.042
7.9999,252,0.047
7.9999,253,0.005
7.9999,254,0.045
7.9999,255,0.044
7.9999,256,0.008
7.9999,257,0.021
7.9999,258,0.082
7.9999,259,0.007
7.9999,260,0.008
7.9999,261,0.019
7.9999,262,0.045
7.9999,263,0.046
7.9999,264,0.045
7.9999,265,0.027
7.9999,266,0.011
7.9999,267,0.06
7.9999,268,0.009
7.9999,269,0.015
7.9999,270,0.025
7.9999,271,0.006
7.9999,272,0.088
7.9999,273,0.051
7.9999,274,0.123
7.9999,275,0.057
7.9999,276,0.049
7.9999,277,0.046
7.9999,278,0.076
7.9999,279,0.018
7.9999,280,0.045
7.9999,281,0.045
7.9999,282,0.052
7.9999,283,0.006
7.9999,284,0.005
7.9999,285,0.043
7.9999,286,0.08
7.9999,287,0.005
7.9999,288,0.05
7.9999,289,0.053
7.9999,290,0.052
7.9999,291,0.009
7.9999,292,0.014
7.9999,293,0.042
7.9999,294,0.049
7.9999,295,0.041
7.9999,296,0.066
7.9999,297,0.062
7.9999,298,0.04
7.9999,299,0.022
7.9999,300,0.011
7.9999,301,0.025
7.9999,302,0.063
7.9999,303,0.049
7.9999,304,0.058
7.9999,305,0.065
7.9999,306,0.05
7.9999,307,0.05
7.9999,308,0.064
7.9999,309,0.049
7.9999,310,0.024
7.9999,311,0.054
7.9999,312,0.086
7.9999,313,0.02
7.9999,314,0.028
7.9999,315,0.008
7.9999,316,0.012
7.9999,317,0.045
7.9999,318,0.05
7.9999,319,0.049
7.9999,320,0.047
7.9999,321,0.045
7.9999,322,0.042
7.9999,323,0.042
7.9999,324,0.006
7.9999,325,0.045
7.9999,326,0.048
7.9999,327,0.059
7.9999,328,0.067
7.9999,329,0.025
7.9999,330,0.008
7.9999,331,0.061
7.9999,332,0.056
7.9999,333,0.062
7.9999,334,0.013
7.9999,335,0.014
7.9999,336,0.018
7.9999,337,0.051
7.9999,338,0.072
7.9999,339,0.008
7.9999,340,0.057
7.9999,341,0.046
7.9999,342,0.054
7.9999,343,0.045
7.9999,344,0.048
7.9999,345,0.006
7.9999,346,0.043
7.9999,347,0.06
7.9999,348,0.044
7.9999,349,0.042
7.9999,350,0.01
7.9999,351,0.006
7.9999,352,0.015
7.9999,353,0.042
7.9999,354,0.01
7.9999,355,0.015
7.9999,356,0.025
7.9999,357,0.017
7.9999,358,0.043
7.9999,359,0.044
7.9999,360,0.047
7.9999,361,0.053
7.9999,362,0.06
