Mean,Count,Service Time
1.4408827496173043E9,0,0.013
1.4408827496173043E9,1,0.091
1.4408827496173043E9,2,0.071
1.4408827496173043E9,3,0.076
1.4408827496173043E9,4,0.063
1.4408827496173043E9,5,0.06
1.4408827496173043E9,6,0.045
1.4408827496173043E9,7,0.023
1.4408827496173043E9,8,0.092
1.4408827496173043E9,9,0.01
1.4408827496173043E9,10,0.05
1.4408827496173043E9,11,0.013
1.4408827496173043E9,12,0.045
1.4408827496173043E9,13,0.018
1.4408827496173043E9,14,0.073
1.4408827496173043E9,15,0.007
1.4408827496173043E9,16,0.059
1.4408827496173043E9,17,0.01
1.4408827496173043E9,18,0.013
1.4408827496173043E9,19,0.007
1.4408827496173043E9,20,0.021
1.4408827496173043E9,21,0.011
1.4408827496173043E9,22,0.016
1.4408827496173043E9,23,0.007
1.4408827496173043E9,24,0.061
1.4408827496173043E9,25,0.021
1.4408827496173043E9,26,0.048
1.4408827496173043E9,27,0.048
1.4408827496173043E9,28,0.025
1.4408827496173043E9,29,0.006
1.4408827496173043E9,30,0.007
1.4408827496173043E9,31,0.012
1.4408827496173043E9,32,0.006
1.4408827496173043E9,33,0.046
1.4408827496173043E9,34,0.034
1.4408827496173043E9,35,0.01
1.4408827496173043E9,36,0.068
1.4408827496173043E9,37,0.049
1.4408827496173043E9,38,0.008
1.4408827496173043E9,39,0.047
1.4408827496173043E9,40,0.023
1.4408827496173043E9,41,0.007
1.4408827496173043E9,42,0.019
1.4408827496173043E9,43,0.008
1.4408827496173043E9,44,0.007
1.4408827496173043E9,45,0.055
1.4408827496173043E9,46,0.011
1.4408827496173043E9,47,0.016
1.4408827496173043E9,48,0.006
1.4408827496173043E9,49,0.041
1.4408827496173043E9,50,0.006
1.4408827496173043E9,51,0.008
1.4408827496173043E9,52,0.007
1.4408827496173043E9,53,0.006
1.4408827496173043E9,54,0.017
1.4408827496173043E9,55,0.023
1.4408827496173043E9,56,0.056
1.4408827496173043E9,57,0.011
1.4408827496173043E9,58,0.016
1.4408827496173043E9,59,0.006
1.4408827496173043E9,60,0.02
1.4408827496173043E9,61,0.031
1.4408827496173043E9,62,0.005
1.4408827496173043E9,63,0.021
1.4408827496173043E9,64,0.011
1.4408827496173043E9,65,0.009
1.4408827496173043E9,66,0.005
1.4408827496173043E9,67,0.025
1.4408827496173043E9,68,0.022
1.4408827496173043E9,69,0.044
1.4408827496173043E9,70,0.008
1.4408827496173043E9,71,0.025
1.4408827496173043E9,72,0.021
1.4408827496173043E9,73,0.006
1.4408827496173043E9,74,0.01
1.4408827496173043E9,75,0.01
1.4408827496173043E9,76,0.018
1.4408827496173043E9,77,0.058
1.4408827496173043E9,78,0.01
1.4408827496173043E9,79,0.006
1.4408827496173043E9,80,0.045
1.4408827496173043E9,81,0.024
1.4408827496173043E9,82,0.011
1.4408827496173043E9,83,0.007
1.4408827496173043E9,84,0.008
1.4408827496173043E9,85,0.007
1.4408827496173043E9,86,0.073
1.4408827496173043E9,87,0.033
1.4408827496173043E9,88,0.025
1.4408827496173043E9,89,0.013
1.4408827496173043E9,90,0.021
1.4408827496173043E9,91,0.01
1.4408827496173043E9,92,0.009
1.4408827496173043E9,93,0.01
1.4408827496173043E9,94,0.017
1.4408827496173043E9,95,0.01
1.4408827496173043E9,96,0.009
1.4408827496173043E9,97,0.012
1.4408827496173043E9,98,0.012
1.4408827496173043E9,99,0.052
1.4408827496173043E9,100,0.054
1.4408827496173043E9,101,0.007
1.4408827496173043E9,102,0.011
1.4408827496173043E9,103,0.013
1.4408827496173043E9,104,0.034
1.4408827496173043E9,105,0.012
1.4408827496173043E9,106,0.006
1.4408827496173043E9,107,0.007
1.4408827496173043E9,108,0.048
1.4408827496173043E9,109,0.005
1.4408827496173043E9,110,0.01
1.4408827496173043E9,111,0.051
1.4408827496173043E9,112,0.008
1.4408827496173043E9,113,0.047
1.4408827496173043E9,114,0.017
1.4408827496173043E9,115,0.071
1.4408827496173043E9,116,0.043
1.4408827496173043E9,117,0.018
1.4408827496173043E9,118,0.017
1.4408827496173043E9,119,0.009
1.4408827496173043E9,120,0.019
1.4408827496173043E9,121,0.021
1.4408827496173043E9,122,0.011
1.4408827496173043E9,123,0.042
1.4408827496173043E9,124,0.01
1.4408827496173043E9,125,0.013
1.4408827496173043E9,126,0.013
1.4408827496173043E9,127,0.009
1.4408827496173043E9,128,0.015
1.4408827496173043E9,129,0.021
1.4408827496173043E9,130,0.006
1.4408827496173043E9,131,0.013
1.4408827496173043E9,132,0.007
1.4408827496173043E9,133,0.078
1.4408827496173043E9,134,0.029
1.4408827496173043E9,135,0.054
1.4408827496173043E9,136,0.044
1.4408827496173043E9,137,0.006
1.4408827496173043E9,138,0.005
1.4408827496173043E9,139,0.005
1.4408827496173043E9,140,0.005
1.4408827496173043E9,141,0.017
1.4408827496173043E9,142,0.025
1.4408827496173043E9,143,0.005
1.4408827496173043E9,144,0.061
1.4408827496173043E9,145,0.043
1.4408827496173043E9,146,0.043
1.4408827496173043E9,147,0.044
1.4408827496173043E9,148,0.027
1.4408827496173043E9,149,0.007
1.4408827496173043E9,150,0.005
1.4408827496173043E9,151,0.005
1.4408827496173043E9,152,0.009
1.4408827496173043E9,153,0.03
1.4408827496173043E9,154,0.045
1.4408827496173043E9,155,0.005
1.4408827496173043E9,156,0.006
1.4408827496173043E9,157,0.007
1.4408827496173043E9,158,0.024
1.4408827496173043E9,159,0.017
1.4408827496173043E9,160,0.015
1.4408827496173043E9,161,0.005
1.4408827496173043E9,162,0.01
1.4408827496173043E9,163,0.005
1.4408827496173043E9,164,0.007
1.4408827496173043E9,165,0.017
1.4408827496173043E9,166,0.013
1.4408827496173043E9,167,0.044
1.4408827496173043E9,168,0.044
1.4408827496173043E9,169,0.043
1.4408827496173043E9,170,0.044
1.4408827496173043E9,171,0.005
1.4408827496173043E9,172,0.009
1.4408827496173043E9,173,0.029
1.4408827496173043E9,174,0.049
1.4408827496173043E9,175,0.086
1.4408827496173043E9,176,0.046
1.4408827496173043E9,177,0.016
1.4408827496173043E9,178,0.015
1.4408827496173043E9,179,0.016
1.4408827496173043E9,180,0.008
1.4408827496173043E9,181,0.013
1.4408827496173043E9,182,0.015
1.4408827496173043E9,183,0.067
1.4408827496173043E9,184,0.043
1.4408827496173043E9,185,0.004
1.4408827496173043E9,186,0.044
1.4408827496173043E9,187,0.014
1.4408827496173043E9,188,0.013
1.4408827496173043E9,189,0.012
1.4408827496173043E9,190,0.006
1.4408827496173043E9,191,0.005
1.4408827496173043E9,192,0.06
1.4408827496173043E9,193,0.042
1.4408827496173043E9,194,0.004
1.4408827496173043E9,195,0.006
1.4408827496173043E9,196,0.004
1.4408827496173043E9,197,0.004
1.4408827496173043E9,198,0.006
1.4408827496173043E9,199,0.019
1.4408827496173043E9,200,0.005
1.4408827496173043E9,201,0.024
1.4408827496173043E9,202,0.013
1.4408827496173043E9,203,0.017
1.4408827496173043E9,204,0.016
1.4408827496173043E9,205,0.01
1.4408827496173043E9,206,0.012
1.4408827496173043E9,207,0.069
1.4408827496173043E9,208,0.01
1.4408827496173043E9,209,0.008
1.4408827496173043E9,210,0.03
1.4408827496173043E9,211,0.017
1.4408827496173043E9,212,0.035
1.4408827496173043E9,213,0.075
1.4408827496173043E9,214,0.045
1.4408827496173043E9,215,0.007
1.4408827496173043E9,216,0.012
1.4408827496173043E9,217,0.007
1.4408827496173043E9,218,0.016
1.4408827496173043E9,219,0.045
1.4408827496173043E9,220,0.006
1.4408827496173043E9,221,0.008
1.4408827496173043E9,222,0.026
1.4408827496173043E9,223,0.034
1.4408827496173043E9,224,0.021
1.4408827496173043E9,225,0.069
1.4408827496173043E9,226,0.005
1.4408827496173043E9,227,0.042
1.4408827496173043E9,228,0.024
1.4408827496173043E9,229,0.045
1.4408827496173043E9,230,0.046
1.4408827496173043E9,231,0.011
1.4408827496173043E9,232,0.006
1.4408827496173043E9,233,0.004
1.4408827496173043E9,234,0.006
1.4408827496173043E9,235,0.053
1.4408827496173043E9,236,0.014
1.4408827496173043E9,237,0.015
1.4408827496173043E9,238,0.053
1.4408827496173043E9,239,0.005
1.4408827496173043E9,240,0.005
1.4408827496173043E9,241,0.006
1.4408827496173043E9,242,0.051
1.4408827496173043E9,243,0.004
1.4408827496173043E9,244,0.012
1.4408827496173043E9,245,0.047
1.4408827496173043E9,246,0.015
1.4408827496173043E9,247,0.059
1.4408827496173043E9,248,0.046
1.4408827496173043E9,249,0.006
1.4408827496173043E9,250,0.005
1.4408827496173043E9,251,0.005
1.4408827496173043E9,252,0.019
1.4408827496173043E9,253,0.009
1.4408827496173043E9,254,0.006
1.4408827496173043E9,255,0.009
1.4408827496173043E9,256,0.056
1.4408827496173043E9,257,0.043
1.4408827496173043E9,258,0.004
1.4408827496173043E9,259,0.004
1.4408827496173043E9,260,0.007
1.4408827496173043E9,261,0.045
1.4408827496173043E9,262,0.048
1.4408827496173043E9,263,0.005
1.4408827496173043E9,264,0.005
1.4408827496173043E9,265,0.05
1.4408827496173043E9,266,0.043
1.4408827496173043E9,267,0.043
1.4408827496173043E9,268,0.048
1.4408827496173043E9,269,0.044
1.4408827496173043E9,270,0.043
1.4408827496173043E9,271,0.04
1.4408827496173043E9,272,0.048
1.4408827496173043E9,273,0.043
1.4408827496173043E9,274,0.044
1.4408827496173043E9,275,0.043
1.4408827496173043E9,276,0.043
1.4408827496173043E9,277,0.005
1.4408827496173043E9,278,0.075
1.4408827496173043E9,279,0.044
1.4408827496173043E9,280,0.005
1.4408827496173043E9,281,0.005
1.4408827496173043E9,282,0.006
1.4408827496173043E9,283,0.005
1.4408827496173043E9,284,0.007
1.4408827496173043E9,285,0.042
1.4408827496173043E9,286,0.044
1.4408827496173043E9,287,0.044
1.4408827496173043E9,288,0.044
1.4408827496173043E9,289,0.043
1.4408827496173043E9,290,0.044
1.4408827496173043E9,291,0.044
1.4408827496173043E9,292,0.043
1.4408827496173043E9,293,0.044
1.4408827496173043E9,294,0.061
1.4408827496173043E9,295,0.01
1.4408827496173043E9,296,0.049
1.4408827496173043E9,297,0.044
1.4408827496173043E9,298,0.005
1.4408827496173043E9,299,0.043
1.4408827496173043E9,300,0.052
1.4408827496173043E9,301,0.005
1.4408827496173043E9,302,0.047
1.4408827496173043E9,303,0.043
1.4408827496173043E9,304,0.044
1.4408827496173043E9,305,0.005
1.4408827496173043E9,306,0.004
1.4408827496173043E9,307,0.018
1.4408827496173043E9,308,0.045
1.4408827496173043E9,309,0.043
1.4408827496173043E9,310,0.043
1.4408827496173043E9,311,0.044
1.4408827496173043E9,312,0.046
1.4408827496173043E9,313,0.048
1.4408827496173043E9,314,0.044
