Mean,Count,Service Time
7.05,0,0.575
7.05,1,0.009
7.05,2,0.012
7.05,3,0.022
7.05,4,0.012
7.05,5,0.027
7.05,6,0.026
7.05,7,0.013
7.05,8,0.029
7.05,9,0.011
7.05,10,0.034
7.05,11,0.038
7.05,12,0.068
7.05,13,0.051
7.05,14,0.046
7.05,15,0.011
7.05,16,0.013
7.05,17,0.008
7.05,18,0.006
7.05,19,0.03
7.05,20,0.022
7.05,21,0.052
7.05,22,0.02
7.05,23,0.021
7.05,24,0.022
7.05,25,0.048
7.05,26,0.034
7.05,27,0.027
7.05,28,0.03
7.05,29,0.021
7.05,30,0.019
7.05,31,0.011
7.05,32,0.058
7.05,33,0.053
7.05,34,0.038
7.05,35,0.047
7.05,36,0.008
7.05,37,0.048
7.05,38,0.073
7.05,39,0.027
7.05,40,0.026
7.05,41,0.008
7.05,42,0.068
7.05,43,0.013
7.05,44,0.008
7.05,45,0.046
7.05,46,0.008
7.05,47,0.015
7.05,48,0.049
7.05,49,0.046
7.05,50,0.026
7.05,51,0.007
7.05,52,0.011
7.05,53,0.008
7.05,54,0.032
7.05,55,0.07
7.05,56,0.048
7.05,57,0.012
7.05,58,0.023
7.05,59,0.021
7.05,60,0.022
7.05,61,0.02
7.05,62,0.022
7.05,63,0.045
7.05,64,0.006
7.05,65,0.024
7.05,66,0.046
7.05,67,0.046
7.05,68,0.056
7.05,69,0.017
7.05,70,0.043
7.05,71,0.046
7.05,72,0.05
7.05,73,0.048
7.05,74,0.045
7.05,75,0.044
7.05,76,0.006
7.05,77,0.05
7.05,78,0.046
7.05,79,0.047
7.05,80,0.009
7.05,81,0.056
7.05,82,0.03
7.05,83,0.008
7.05,84,0.012
7.05,85,0.049
7.05,86,0.046
7.05,87,0.058
7.05,88,0.023
7.05,89,0.016
7.05,90,0.019
7.05,91,0.057
7.05,92,0.07
7.05,93,0.008
7.05,94,0.008
7.05,95,0.011
7.05,96,0.056
7.05,97,0.009
7.05,98,0.044
7.05,99,0.043
7.05,100,0.046
7.05,101,0.014
7.05,102,0.043
7.05,103,0.044
7.05,104,0.042
7.05,105,0.01
7.05,106,0.01
7.05,107,0.049
7.05,108,0.045
7.05,109,0.008
7.05,110,0.052
7.05,111,0.005
7.05,112,0.071
7.05,113,0.045
7.05,114,0.092
7.05,115,0.056
7.05,116,0.046
7.05,117,0.019
7.05,118,0.077
7.05,119,0.006
7.05,120,0.006
7.05,121,0.045
7.05,122,0.007
7.05,123,0.065
7.05,124,0.008
7.05,125,0.012
7.05,126,0.007
7.05,127,0.014
7.05,128,0.055
7.05,129,0.005
7.05,130,0.049
7.05,131,0.006
7.05,132,0.045
7.05,133,0.06
7.05,134,0.007
7.05,135,0.052
7.05,136,0.074
7.05,137,0.026
7.05,138,0.075
7.05,139,0.069
7.05,140,0.009
7.05,141,0.026
7.05,142,0.006
7.05,143,0.042
7.05,144,0.043
7.05,145,0.044
7.05,146,0.045
7.05,147,0.045
7.05,148,0.063
7.05,149,0.007
7.05,150,0.044
7.05,151,0.044
7.05,152,0.008
7.05,153,0.05
7.05,154,0.045
7.05,155,0.053
7.05,156,0.094
7.05,157,0.073
7.05,158,0.047
7.05,159,0.01
7.05,160,0.023
7.05,161,0.048
7.05,162,0.043
7.05,163,0.041
7.05,164,0.053
7.05,165,0.045
7.05,166,0.046
7.05,167,0.044
7.05,168,0.073
7.05,169,0.046
7.05,170,0.054
7.05,171,0.054
7.05,172,0.05
7.05,173,0.044
7.05,174,0.049
7.05,175,0.044
7.05,176,0.047
7.05,177,0.051
7.05,178,0.045
7.05,179,0.045
7.05,180,0.044
7.05,181,0.041
7.05,182,0.05
7.05,183,0.045
7.05,184,0.014
7.05,185,0.047
7.05,186,0.054
7.05,187,0.045
7.05,188,0.047
7.05,189,0.047
7.05,190,0.046
7.05,191,0.045
7.05,192,0.006
7.05,193,0.067
7.05,194,0.012
7.05,195,0.053
7.05,196,0.042
7.05,197,0.045
7.05,198,0.042
7.05,199,0.06
7.05,200,0.044
7.05,201,0.041
7.05,202,0.046
7.05,203,0.047
7.05,204,0.058
7.05,205,0.015
7.05,206,0.053
7.05,207,0.046
7.05,208,0.012
7.05,209,0.056
7.05,210,0.078
7.05,211,0.044
7.05,212,0.014
7.05,213,0.073
7.05,214,0.053
7.05,215,0.044
7.05,216,0.053
7.05,217,0.044
7.05,218,0.042
7.05,219,0.061
7.05,220,0.009
7.05,221,0.028
7.05,222,0.017
7.05,223,0.044
7.05,224,0.02
7.05,225,0.071
7.05,226,0.059
7.05,227,0.055
7.05,228,0.01
7.05,229,0.063
7.05,230,0.044
7.05,231,0.046
7.05,232,0.051
7.05,233,0.044
7.05,234,0.043
7.05,235,0.009
7.05,236,0.058
7.05,237,0.049
7.05,238,0.011
7.05,239,0.084
7.05,240,0.008
7.05,241,0.016
7.05,242,0.057
7.05,243,0.043
7.05,244,0.046
7.05,245,0.081
7.05,246,0.044
7.05,247,0.044
7.05,248,0.065
7.05,249,0.057
7.05,250,0.053
7.05,251,0.044
7.05,252,0.044
7.05,253,0.045
7.05,254,0.05
7.05,255,0.006
7.05,256,0.045
7.05,257,0.044
7.05,258,0.045
7.05,259,0.045
7.05,260,0.042
7.05,261,0.048
7.05,262,0.053
7.05,263,0.043
7.05,264,0.042
7.05,265,0.044
7.05,266,0.049
7.05,267,0.046
7.05,268,0.045
7.05,269,0.043
7.05,270,0.006
7.05,271,0.058
7.05,272,0.01
7.05,273,0.021
7.05,274,0.065
7.05,275,0.023
7.05,276,0.05
7.05,277,0.041
7.05,278,0.005
7.05,279,0.043
7.05,280,0.05
7.05,281,0.008
7.05,282,0.015
7.05,283,0.048
7.05,284,0.046
7.05,285,0.042
7.05,286,0.041
7.05,287,0.054
7.05,288,0.053
7.05,289,0.044
7.05,290,0.022
7.05,291,0.042
7.05,292,0.073
7.05,293,0.006
7.05,294,0.008
7.05,295,0.018
7.05,296,0.016
7.05,297,0.025
7.05,298,0.028
7.05,299,0.045
7.05,300,0.042
7.05,301,0.041
7.05,302,0.046
7.05,303,0.046
7.05,304,0.066
7.05,305,0.017
7.05,306,0.026
7.05,307,0.054
7.05,308,0.015
7.05,309,0.061
7.05,310,0.053
7.05,311,0.044
7.05,312,0.044
7.05,313,0.05
7.05,314,0.006
7.05,315,0.061
7.05,316,0.046
7.05,317,0.044
7.05,318,0.006
7.05,319,0.051
7.05,320,0.046
7.05,321,0.042
7.05,322,0.006
7.05,323,0.043
7.05,324,0.019
7.05,325,0.076
7.05,326,0.045
7.05,327,0.045
7.05,328,0.013
7.05,329,0.061
7.05,330,0.005
7.05,331,0.007
7.05,332,0.041
7.05,333,0.046
7.05,334,0.054
7.05,335,0.088
7.05,336,0.004
7.05,337,0.007
7.05,338,0.082
7.05,339,0.006
7.05,340,0.076
7.05,341,0.044
7.05,342,0.054
7.05,343,0.044
7.05,344,0.043
7.05,345,0.046
7.05,346,0.047
7.05,347,0.043
7.05,348,0.044
7.05,349,0.012
7.05,350,0.046
7.05,351,0.073
7.05,352,0.061
7.05,353,0.043
7.05,354,0.048
7.05,355,0.042
7.05,356,0.043
7.05,357,0.047
7.05,358,0.041
7.05,359,0.007
7.05,360,0.004
7.05,361,0.045
7.05,362,0.005
7.05,363,0.043
7.05,364,0.005
7.05,365,0.048
7.05,366,0.005
7.05,367,0.004
7.05,368,0.05
7.05,369,0.043
7.05,370,0.004
7.05,371,0.045
7.05,372,0.007
7.05,373,0.032
7.05,374,0.045
7.05,375,0.044
7.05,376,0.011
7.05,377,0.043
7.05,378,0.045
7.05,379,0.042
7.05,380,0.055
7.05,381,0.043
7.05,382,0.047
7.05,383,0.044
7.05,384,0.005
7.05,385,0.05
7.05,386,0.015
7.05,387,0.005
7.05,388,0.011
7.05,389,0.054
7.05,390,0.042
7.05,391,0.004
7.05,392,0.055
7.05,393,0.013
7.05,394,0.051
7.05,395,0.006
7.05,396,0.045
7.05,397,0.043
7.05,398,0.006
7.05,399,0.062
7.05,400,0.06
7.05,401,0.012
7.05,402,0.074
7.05,403,0.052
7.05,404,0.045
7.05,405,0.05
7.05,406,0.073
7.05,407,0.028
7.05,408,0.056
7.05,409,0.044
7.05,410,0.045
7.05,411,0.007
7.05,412,0.005
7.05,413,0.055
7.05,414,0.006
7.05,415,0.045
7.05,416,0.043
7.05,417,0.042
7.05,418,0.061
7.05,419,0.005
7.05,420,0.021
7.05,421,0.058
7.05,422,0.014
7.05,423,0.018
7.05,424,0.044
7.05,425,0.047
7.05,426,0.045
7.05,427,0.008
7.05,428,0.013
7.05,429,0.055
7.05,430,0.04
7.05,431,0.008
7.05,432,0.005
7.05,433,0.018
7.05,434,0.063
7.05,435,0.046
7.05,436,0.044
7.05,437,0.048
7.05,438,0.01
7.05,439,0.004
7.05,440,0.006
7.05,441,0.027
7.05,442,0.02
7.05,443,0.019
7.05,444,0.008
7.05,445,0.06
7.05,446,0.044
7.05,447,0.045
7.05,448,0.055
7.05,449,0.056
7.05,450,0.044
7.05,451,0.008
7.05,452,0.021
7.05,453,0.041
7.05,454,0.041
7.05,455,0.009
7.05,456,0.048
7.05,457,0.017
