Mean,Count,Service Time
19.98,0,0.596
19.98,1,0.051
19.98,2,0.027
19.98,3,0.025
19.98,4,0.055
19.98,5,0.045
19.98,6,0.052
19.98,7,0.023
19.98,8,0.016
19.98,9,0.023
19.98,10,0.014
19.98,11,0.016
19.98,12,0.015
19.98,13,0.035
19.98,14,0.01
19.98,15,0.05
19.98,16,0.011
19.98,17,0.052
19.98,18,0.008
19.98,19,0.022
19.98,20,0.007
19.98,21,0.051
19.98,22,0.033
19.98,23,0.017
19.98,24,0.012
19.98,25,0.038
19.98,26,0.046
19.98,27,0.061
19.98,28,0.064
19.98,29,0.013
19.98,30,0.028
19.98,31,0.049
19.98,32,0.056
19.98,33,0.065
19.98,34,0.01
19.98,35,0.051
19.98,36,0.049
19.98,37,0.05
19.98,38,0.008
19.98,39,0.044
19.98,40,0.01
19.98,41,0.05
19.98,42,0.069
19.98,43,0.013
19.98,44,0.01
19.98,45,0.021
19.98,46,0.018
19.98,47,0.049
19.98,48,0.05
19.98,49,0.005
19.98,50,0.014
19.98,51,0.007
19.98,52,0.016
19.98,53,0.007
19.98,54,0.007
19.98,55,0.013
19.98,56,0.048
19.98,57,0.008
19.98,58,0.008
19.98,59,0.044
19.98,60,0.023
19.98,61,0.047
19.98,62,0.047
19.98,63,0.048
19.98,64,0.006
19.98,65,0.02
19.98,66,0.018
19.98,67,0.007
19.98,68,0.052
19.98,69,0.046
19.98,70,0.009
19.98,71,0.029
19.98,72,0.006
19.98,73,0.055
19.98,74,0.056
19.98,75,0.047
19.98,76,0.044
19.98,77,0.045
19.98,78,0.043
19.98,79,0.043
19.98,80,0.008
19.98,81,0.028
19.98,82,0.006
19.98,83,0.045
19.98,84,0.011
19.98,85,0.044
19.98,86,0.02
19.98,87,0.004
19.98,88,0.008
19.98,89,0.02
19.98,90,0.063
19.98,91,0.005
19.98,92,0.046
19.98,93,0.007
19.98,94,0.007
19.98,95,0.016
19.98,96,0.05
19.98,97,0.045
19.98,98,0.045
19.98,99,0.01
19.98,100,0.009
19.98,101,0.043
19.98,102,0.044
19.98,103,0.007
19.98,104,0.013
19.98,105,0.008
19.98,106,0.047
19.98,107,0.048
19.98,108,0.007
19.98,109,0.008
19.98,110,0.006
19.98,111,0.058
19.98,112,0.051
19.98,113,0.004
19.98,114,0.049
19.98,115,0.023
19.98,116,0.062
19.98,117,0.005
19.98,118,0.019
19.98,119,0.046
19.98,120,0.045
19.98,121,0.01
19.98,122,0.044
19.98,123,0.005
19.98,124,0.054
19.98,125,0.05
19.98,126,0.005
19.98,127,0.01
19.98,128,0.006
19.98,129,0.031
19.98,130,0.049
19.98,131,0.051
19.98,132,0.063
19.98,133,0.017
19.98,134,0.044
19.98,135,0.017
19.98,136,0.007
19.98,137,0.084
19.98,138,0.006
19.98,139,0.013
19.98,140,0.052
19.98,141,0.018
19.98,142,0.049
19.98,143,0.02
19.98,144,0.049
19.98,145,0.011
19.98,146,0.007
19.98,147,0.046
19.98,148,0.044
19.98,149,0.011
19.98,150,0.005
19.98,151,0.064
19.98,152,0.014
19.98,153,0.049
19.98,154,0.046
19.98,155,0.013
19.98,156,0.006
19.98,157,0.047
19.98,158,0.043
19.98,159,0.008
19.98,160,0.007
19.98,161,0.051
19.98,162,0.062
19.98,163,0.015
19.98,164,0.005
19.98,165,0.044
19.98,166,0.004
19.98,167,0.042
19.98,168,0.044
19.98,169,0.044
19.98,170,0.047
19.98,171,0.083
19.98,172,0.045
19.98,173,0.042
19.98,174,0.058
19.98,175,0.046
19.98,176,0.043
19.98,177,0.017
19.98,178,0.047
19.98,179,0.043
19.98,180,0.008
19.98,181,0.045
19.98,182,0.047
19.98,183,0.031
19.98,184,0.016
19.98,185,0.014
19.98,186,0.056
19.98,187,0.009
19.98,188,0.046
19.98,189,0.007
19.98,190,0.046
19.98,191,0.05
19.98,192,0.07
19.98,193,0.044
19.98,194,0.011
19.98,195,0.042
19.98,196,0.045
19.98,197,0.049
19.98,198,0.042
19.98,199,0.006
19.98,200,0.007
19.98,201,0.045
19.98,202,0.043
19.98,203,0.043
19.98,204,0.043
19.98,205,0.052
19.98,206,0.046
19.98,207,0.03
19.98,208,0.03
19.98,209,0.071
19.98,210,0.045
19.98,211,0.043
19.98,212,0.044
19.98,213,0.048
19.98,214,0.043
19.98,215,0.042
19.98,216,0.063
19.98,217,0.052
19.98,218,0.046
19.98,219,0.044
19.98,220,0.048
19.98,221,0.045
19.98,222,0.07
19.98,223,0.024
19.98,224,0.053
19.98,225,0.045
19.98,226,0.043
19.98,227,0.051
19.98,228,0.042
19.98,229,0.007
19.98,230,0.062
19.98,231,0.047
19.98,232,0.009
19.98,233,0.071
19.98,234,0.053
19.98,235,0.043
19.98,236,0.071
19.98,237,0.042
19.98,238,0.067
19.98,239,0.055
19.98,240,0.043
19.98,241,0.01
19.98,242,0.046
19.98,243,0.047
19.98,244,0.049
19.98,245,0.016
19.98,246,0.007
19.98,247,0.044
19.98,248,0.043
19.98,249,0.077
19.98,250,0.005
19.98,251,0.011
19.98,252,0.011
19.98,253,0.022
19.98,254,0.011
19.98,255,0.01
19.98,256,0.02
19.98,257,0.041
19.98,258,0.045
19.98,259,0.007
19.98,260,0.047
19.98,261,0.045
19.98,262,0.049
19.98,263,0.044
19.98,264,0.05
19.98,265,0.044
19.98,266,0.006
19.98,267,0.052
19.98,268,0.041
19.98,269,0.005
19.98,270,0.043
19.98,271,0.022
19.98,272,0.043
19.98,273,0.042
19.98,274,0.008
19.98,275,0.042
19.98,276,0.044
19.98,277,0.004
19.98,278,0.043
19.98,279,0.005
19.98,280,0.009
19.98,281,0.032
19.98,282,0.041
19.98,283,0.033
19.98,284,0.005
19.98,285,0.005
19.98,286,0.005
19.98,287,0.004
19.98,288,0.016
19.98,289,0.009
19.98,290,0.048
