Mean,Count,Service Time
1.85,0,0.616
1.85,1,0.046
1.85,2,0.048
1.85,3,0.03
1.85,4,0.018
1.85,5,0.022
1.85,6,0.058
1.85,7,0.016
1.85,8,0.015
1.85,9,0.049
1.85,10,0.034
1.85,11,0.049
1.85,12,0.015
1.85,13,0.038
1.85,14,0.047
1.85,15,0.05
1.85,16,0.019
1.85,17,0.047
1.85,18,0.007
1.85,19,0.012
1.85,20,0.048
1.85,21,0.018
1.85,22,0.038
1.85,23,0.028
1.85,24,0.01
1.85,25,0.032
1.85,26,0.037
1.85,27,0.039
1.85,28,0.018
1.85,29,0.029
1.85,30,0.071
1.85,31,0.016
1.85,32,0.029
1.85,33,0.025
1.85,34,0.011
1.85,35,0.009
1.85,36,0.049
1.85,37,0.069
1.85,38,0.061
1.85,39,0.057
1.85,40,0.035
1.85,41,0.052
1.85,42,0.046
1.85,43,0.05
1.85,44,0.046
1.85,45,0.009
1.85,46,0.006
1.85,47,0.006
1.85,48,0.008
1.85,49,0.034
1.85,50,0.052
1.85,51,0.012
1.85,52,0.013
1.85,53,0.011
1.85,54,0.049
1.85,55,0.008
1.85,56,0.014
1.85,57,0.009
1.85,58,0.02
1.85,59,0.046
1.85,60,0.018
1.85,61,0.049
1.85,62,0.043
1.85,63,0.05
1.85,64,0.011
1.85,65,0.079
1.85,66,0.055
1.85,67,0.044
1.85,68,0.049
1.85,69,0.011
1.85,70,0.011
1.85,71,0.054
1.85,72,0.039
1.85,73,0.048
1.85,74,0.01
1.85,75,0.015
1.85,76,0.063
1.85,77,0.047
1.85,78,0.016
1.85,79,0.083
1.85,80,0.014
1.85,81,0.01
1.85,82,0.008
1.85,83,0.062
1.85,84,0.05
1.85,85,0.007
1.85,86,0.048
1.85,87,0.046
1.85,88,0.008
1.85,89,0.049
1.85,90,0.043
1.85,91,0.012
1.85,92,0.051
1.85,93,0.063
1.85,94,0.065
1.85,95,0.108
1.85,96,0.061
1.85,97,0.01
1.85,98,0.048
1.85,99,0.009
1.85,100,0.007
1.85,101,0.012
1.85,102,0.011
1.85,103,0.053
1.85,104,0.018
1.85,105,0.019
1.85,106,0.029
1.85,107,0.051
1.85,108,0.067
1.85,109,0.013
1.85,110,0.021
1.85,111,0.056
1.85,112,0.006
1.85,113,0.013
1.85,114,0.007
1.85,115,0.044
1.85,116,0.024
1.85,117,0.011
1.85,118,0.022
1.85,119,0.011
1.85,120,0.052
1.85,121,0.007
1.85,122,0.007
1.85,123,0.01
1.85,124,0.02
1.85,125,0.048
1.85,126,0.045
1.85,127,0.041
1.85,128,0.016
1.85,129,0.01
1.85,130,0.018
1.85,131,0.076
1.85,132,0.048
1.85,133,0.043
1.85,134,0.047
1.85,135,0.041
1.85,136,0.043
1.85,137,0.048
1.85,138,0.048
1.85,139,0.049
1.85,140,0.022
1.85,141,0.014
1.85,142,0.017
1.85,143,0.022
1.85,144,0.023
1.85,145,0.053
1.85,146,0.008
1.85,147,0.044
1.85,148,0.01
1.85,149,0.057
1.85,150,0.01
1.85,151,0.008
1.85,152,0.019
1.85,153,0.022
1.85,154,0.05
1.85,155,0.017
1.85,156,0.01
1.85,157,0.077
1.85,158,0.051
1.85,159,0.078
1.85,160,0.051
1.85,161,0.047
1.85,162,0.013
1.85,163,0.014
1.85,164,0.022
1.85,165,0.022
1.85,166,0.078
1.85,167,0.015
1.85,168,0.047
1.85,169,0.053
1.85,170,0.053
1.85,171,0.011
1.85,172,0.044
1.85,173,0.069
1.85,174,0.048
1.85,175,0.064
1.85,176,0.057
1.85,177,0.051
1.85,178,0.068
1.85,179,0.018
1.85,180,0.045
1.85,181,0.047
1.85,182,0.05
1.85,183,0.067
1.85,184,0.057
1.85,185,0.013
1.85,186,0.065
1.85,187,0.045
1.85,188,0.057
1.85,189,0.066
1.85,190,0.086
1.85,191,0.062
1.85,192,0.037
1.85,193,0.049
1.85,194,0.069
1.85,195,0.052
1.85,196,0.008
1.85,197,0.053
1.85,198,0.047
1.85,199,0.01
1.85,200,0.012
1.85,201,0.022
1.85,202,0.045
1.85,203,0.063
1.85,204,0.014
1.85,205,0.029
1.85,206,0.011
1.85,207,0.079
1.85,208,0.053
1.85,209,0.048
1.85,210,0.046
1.85,211,0.049
1.85,212,0.045
1.85,213,0.012
1.85,214,0.067
1.85,215,0.011
1.85,216,0.011
1.85,217,0.08
1.85,218,0.006
1.85,219,0.007
1.85,220,0.019
1.85,221,0.03
1.85,222,0.023
1.85,223,0.053
1.85,224,0.044
1.85,225,0.011
1.85,226,0.074
1.85,227,0.017
1.85,228,0.013
1.85,229,0.049
1.85,230,0.052
1.85,231,0.024
1.85,232,0.055
1.85,233,0.062
1.85,234,0.047
1.85,235,0.044
1.85,236,0.01
1.85,237,0.048
1.85,238,0.073
1.85,239,0.013
1.85,240,0.05
1.85,241,0.008
1.85,242,0.064
1.85,243,0.052
1.85,244,0.046
1.85,245,0.044
1.85,246,0.06
1.85,247,0.015
1.85,248,0.049
1.85,249,0.052
1.85,250,0.051
1.85,251,0.059
1.85,252,0.042
1.85,253,0.043
1.85,254,0.01
1.85,255,0.011
1.85,256,0.046
1.85,257,0.046
1.85,258,0.049
1.85,259,0.043
1.85,260,0.045
1.85,261,0.046
1.85,262,0.05
1.85,263,0.017
1.85,264,0.035
1.85,265,0.08
1.85,266,0.012
1.85,267,0.089
1.85,268,0.012
1.85,269,0.018
1.85,270,0.015
1.85,271,0.02
1.85,272,0.082
1.85,273,0.052
1.85,274,0.055
1.85,275,0.013
1.85,276,0.054
1.85,277,0.052
1.85,278,0.047
1.85,279,0.029
1.85,280,0.05
1.85,281,0.051
1.85,282,0.045
1.85,283,0.044
1.85,284,0.063
1.85,285,0.043
1.85,286,0.05
1.85,287,0.045
1.85,288,0.051
1.85,289,0.051
1.85,290,0.08
1.85,291,0.06
1.85,292,0.05
1.85,293,0.052
1.85,294,0.005
1.85,295,0.047
1.85,296,0.07
1.85,297,0.044
1.85,298,0.051
1.85,299,0.007
1.85,300,0.049
1.85,301,0.054
1.85,302,0.01
1.85,303,0.012
1.85,304,0.053
1.85,305,0.048
1.85,306,0.052
1.85,307,0.053
1.85,308,0.013
1.85,309,0.042
1.85,310,0.007
1.85,311,0.061
1.85,312,0.052
1.85,313,0.044
1.85,314,0.043
1.85,315,0.008
1.85,316,0.014
1.85,317,0.07
1.85,318,0.018
1.85,319,0.01
1.85,320,0.011
1.85,321,0.052
1.85,322,0.065
1.85,323,0.048
1.85,324,0.049
1.85,325,0.009
1.85,326,0.055
1.85,327,0.043
1.85,328,0.065
1.85,329,0.084
1.85,330,0.047
1.85,331,0.075
1.85,332,0.034
1.85,333,0.05
1.85,334,0.006
1.85,335,0.014
1.85,336,0.047
1.85,337,0.048
1.85,338,0.014
1.85,339,0.048
1.85,340,0.044
1.85,341,0.053
1.85,342,0.021
1.85,343,0.054
1.85,344,0.044
1.85,345,0.049
1.85,346,0.007
1.85,347,0.085
1.85,348,0.016
1.85,349,0.047
1.85,350,0.048
1.85,351,0.077
1.85,352,0.083
1.85,353,0.139
1.85,354,0.049
1.85,355,0.046
1.85,356,0.064
1.85,357,0.01
1.85,358,0.054
1.85,359,0.005
1.85,360,0.082
1.85,361,0.005
1.85,362,0.043
1.85,363,0.053
1.85,364,0.043
1.85,365,0.008
1.85,366,0.017
1.85,367,0.082
1.85,368,0.012
1.85,369,0.012
1.85,370,0.044
1.85,371,0.045
1.85,372,0.093
1.85,373,0.012
1.85,374,0.013
1.85,375,0.045
1.85,376,0.045
1.85,377,0.007
1.85,378,0.046
1.85,379,0.008
1.85,380,0.022
1.85,381,0.059
1.85,382,0.008
1.85,383,0.049
1.85,384,0.043
1.85,385,0.046
1.85,386,0.044
1.85,387,0.057
1.85,388,0.048
1.85,389,0.046
1.85,390,0.051
1.85,391,0.061
1.85,392,0.049
1.85,393,0.053
1.85,394,0.066
1.85,395,0.008
1.85,396,0.042
1.85,397,0.059
1.85,398,0.043
1.85,399,0.045
1.85,400,0.06
1.85,401,0.055
1.85,402,0.053
1.85,403,0.054
1.85,404,0.066
1.85,405,0.044
1.85,406,0.048
1.85,407,0.063
1.85,408,0.1
1.85,409,0.021
1.85,410,0.069
1.85,411,0.054
1.85,412,0.012
1.85,413,0.058
1.85,414,0.063
1.85,415,0.081
1.85,416,0.007
1.85,417,0.048
1.85,418,0.043
1.85,419,0.047
1.85,420,0.041
1.85,421,0.044
1.85,422,0.041
1.85,423,0.044
1.85,424,0.042
1.85,425,0.046
1.85,426,0.043
1.85,427,0.052
1.85,428,0.044
1.85,429,0.046
1.85,430,0.049
1.85,431,0.042
1.85,432,0.078
1.85,433,0.047
1.85,434,0.053
1.85,435,0.014
1.85,436,0.063
1.85,437,0.048
1.85,438,0.022
1.85,439,0.01
1.85,440,0.064
1.85,441,0.044
1.85,442,0.048
1.85,443,0.043
1.85,444,0.045
1.85,445,0.012
1.85,446,0.008
1.85,447,0.011
1.85,448,0.062
1.85,449,0.05
1.85,450,0.045
1.85,451,0.046
1.85,452,0.064
1.85,453,0.064
1.85,454,0.047
1.85,455,0.046
1.85,456,0.044
1.85,457,0.061
1.85,458,0.07
1.85,459,0.008
1.85,460,0.058
1.85,461,0.008
1.85,462,0.082
1.85,463,0.005
1.85,464,0.047
1.85,465,0.007
1.85,466,0.045
1.85,467,0.043
1.85,468,0.015
1.85,469,0.058
1.85,470,0.036
1.85,471,0.07
1.85,472,0.042
1.85,473,0.005
1.85,474,0.085
1.85,475,0.046
1.85,476,0.008
1.85,477,0.006
1.85,478,0.054
1.85,479,0.045
1.85,480,0.044
1.85,481,0.057
1.85,482,0.042
1.85,483,0.013
1.85,484,0.058
1.85,485,0.008
1.85,486,0.013
1.85,487,0.029
1.85,488,0.029
1.85,489,0.004
1.85,490,0.058
1.85,491,0.009
1.85,492,0.055
1.85,493,0.042
1.85,494,0.006
1.85,495,0.024
1.85,496,0.066
1.85,497,0.014
1.85,498,0.043
1.85,499,0.008
1.85,500,0.009
1.85,501,0.042
1.85,502,0.047
1.85,503,0.01
1.85,504,0.02
1.85,505,0.063
1.85,506,0.046
1.85,507,0.044
1.85,508,0.01
1.85,509,0.051
1.85,510,0.045
1.85,511,0.007
1.85,512,0.047
1.85,513,0.009
1.85,514,0.006
1.85,515,0.049
1.85,516,0.006
1.85,517,0.041
1.85,518,0.044
1.85,519,0.064
1.85,520,0.043
1.85,521,0.044
1.85,522,0.047
1.85,523,0.056
1.85,524,0.044
1.85,525,0.085
1.85,526,0.009
1.85,527,0.008
1.85,528,0.058
1.85,529,0.006
1.85,530,0.047
1.85,531,0.047
1.85,532,0.01
1.85,533,0.043
1.85,534,0.045
1.85,535,0.009
1.85,536,0.044
1.85,537,0.042
1.85,538,0.006
1.85,539,0.006
1.85,540,0.025
1.85,541,0.006
1.85,542,0.058
1.85,543,0.047
1.85,544,0.009
1.85,545,0.004
1.85,546,0.052
1.85,547,0.045
1.85,548,0.012
1.85,549,0.005
1.85,550,0.057
1.85,551,0.042
1.85,552,0.048
1.85,553,0.005
1.85,554,0.055
1.85,555,0.046
1.85,556,0.05
1.85,557,0.008
1.85,558,0.048
1.85,559,0.045
1.85,560,0.061
1.85,561,0.011
1.85,562,0.042
1.85,563,0.051
1.85,564,0.01
1.85,565,0.005
1.85,566,0.039
1.85,567,0.044
1.85,568,0.043
1.85,569,0.005
1.85,570,0.062
1.85,571,0.005
1.85,572,0.044
1.85,573,0.042
1.85,574,0.01
1.85,575,0.043
1.85,576,0.005
1.85,577,0.045
1.85,578,0.011
1.85,579,0.049
1.85,580,0.007
1.85,581,0.005
1.85,582,0.005
1.85,583,0.054
1.85,584,0.064
1.85,585,0.049
1.85,586,0.045
1.85,587,0.051
1.85,588,0.067
1.85,589,0.046
1.85,590,0.046
1.85,591,0.005
1.85,592,0.055
1.85,593,0.008
1.85,594,0.014
1.85,595,0.022
1.85,596,0.024
1.85,597,0.009
1.85,598,0.05
1.85,599,0.045
1.85,600,0.049
1.85,601,0.02
1.85,602,0.045
1.85,603,0.043
1.85,604,0.006
1.85,605,0.009
1.85,606,0.044
1.85,607,0.052
1.85,608,0.012
1.85,609,0.051
1.85,610,0.043
1.85,611,0.019
1.85,612,0.042
1.85,613,0.045
1.85,614,0.044
1.85,615,0.045
1.85,616,0.066
1.85,617,0.044
1.85,618,0.006
1.85,619,0.019
1.85,620,0.013
1.85,621,0.022
1.85,622,0.043
1.85,623,0.047
1.85,624,0.049
1.85,625,0.009
1.85,626,0.041
1.85,627,0.044
1.85,628,0.05
1.85,629,0.049
1.85,630,0.064
1.85,631,0.005
1.85,632,0.044
1.85,633,0.045
1.85,634,0.005
1.85,635,0.009
1.85,636,0.064
1.85,637,0.09
1.85,638,0.019
1.85,639,0.038
1.85,640,0.056
1.85,641,0.045
1.85,642,0.005
1.85,643,0.042
1.85,644,0.052
1.85,645,0.046
1.85,646,0.046
1.85,647,0.006
1.85,648,0.01
1.85,649,0.053
1.85,650,0.042
1.85,651,0.045
1.85,652,0.08
1.85,653,0.006
1.85,654,0.052
1.85,655,0.007
1.85,656,0.044
1.85,657,0.007
1.85,658,0.044
1.85,659,0.078
1.85,660,0.006
1.85,661,0.017
1.85,662,0.063
1.85,663,0.006
1.85,664,0.012
1.85,665,0.043
1.85,666,0.048
1.85,667,0.016
1.85,668,0.077
1.85,669,0.01
1.85,670,0.008
1.85,671,0.004
1.85,672,0.057
1.85,673,0.048
1.85,674,0.045
1.85,675,0.043
1.85,676,0.061
1.85,677,0.006
1.85,678,0.057
1.85,679,0.004
1.85,680,0.045
1.85,681,0.044
1.85,682,0.048
1.85,683,0.046
1.85,684,0.052
1.85,685,0.006
1.85,686,0.045
1.85,687,0.043
1.85,688,0.045
1.85,689,0.044
1.85,690,0.048
1.85,691,0.021
1.85,692,0.064
1.85,693,0.005
1.85,694,0.005
1.85,695,0.014
1.85,696,0.018
1.85,697,0.011
1.85,698,0.067
1.85,699,0.045
1.85,700,0.009
1.85,701,0.02
1.85,702,0.046
1.85,703,0.048
1.85,704,0.055
1.85,705,0.005
1.85,706,0.044
1.85,707,0.044
1.85,708,0.045
1.85,709,0.049
1.85,710,0.044
1.85,711,0.006
1.85,712,0.045
1.85,713,0.043
1.85,714,0.05
1.85,715,0.008
1.85,716,0.007
