Mean,Count,Service Time
2.15,0,0.552
2.15,1,0.079
2.15,2,0.059
2.15,3,0.053
2.15,4,0.043
2.15,5,0.053
2.15,6,0.081
2.15,7,0.058
2.15,8,0.052
2.15,9,0.053
2.15,10,0.055
2.15,11,0.045
2.15,12,0.05
2.15,13,0.03
2.15,14,0.084
2.15,15,0.032
2.15,16,0.06
2.15,17,0.084
2.15,18,0.124
2.15,19,0.037
2.15,20,0.052
2.15,21,0.072
2.15,22,0.063
2.15,23,0.053
2.15,24,0.107
2.15,25,0.048
2.15,26,0.037
2.15,27,0.058
2.15,28,0.04
2.15,29,0.044
2.15,30,0.064
2.15,31,0.062
2.15,32,0.047
2.15,33,0.038
2.15,34,0.102
2.15,35,0.048
2.15,36,0.025
2.15,37,0.032
2.15,38,0.034
2.15,39,0.086
2.15,40,0.033
2.15,41,0.036
2.15,42,0.027
2.15,43,0.051
2.15,44,0.053
2.15,45,0.048
2.15,46,0.059
2.15,47,0.065
2.15,48,0.075
2.15,49,0.059
2.15,50,0.051
2.15,51,0.037
2.15,52,0.043
2.15,53,0.079
2.15,54,0.052
2.15,55,0.08
2.15,56,0.112
2.15,57,0.118
2.15,58,0.106
2.15,59,0.112
2.15,60,0.025
2.15,61,0.089
2.15,62,0.06
2.15,63,0.028
2.15,64,0.053
2.15,65,0.022
2.15,66,0.075
2.15,67,0.051
2.15,68,0.083
2.15,69,0.057
2.15,70,0.054
2.15,71,0.046
2.15,72,0.06
2.15,73,0.064
2.15,74,0.053
2.15,75,0.052
2.15,76,0.046
2.15,77,0.081
2.15,78,0.055
2.15,79,0.084
2.15,80,0.118
2.15,81,0.046
2.15,82,0.086
2.15,83,0.059
2.15,84,0.026
2.15,85,0.075
2.15,86,0.065
2.15,87,0.066
2.15,88,0.08
2.15,89,0.062
2.15,90,0.054
2.15,91,0.161
2.15,92,0.08
2.15,93,0.056
2.15,94,0.032
2.15,95,0.032
2.15,96,0.093
2.15,97,0.064
2.15,98,0.073
2.15,99,0.04
2.15,100,0.025
2.15,101,0.029
2.15,102,0.093
2.15,103,0.033
2.15,104,0.082
2.15,105,0.055
2.15,106,0.066
2.15,107,0.055
2.15,108,0.063
2.15,109,0.064
2.15,110,0.049
2.15,111,0.083
2.15,112,0.087
2.15,113,0.047
2.15,114,0.016
2.15,115,0.051
2.15,116,0.064
2.15,117,0.025
2.15,118,0.049
2.15,119,0.01
2.15,120,0.01
2.15,121,0.033
2.15,122,0.069
2.15,123,0.056
2.15,124,0.054
2.15,125,0.079
2.15,126,0.072
2.15,127,0.012
2.15,128,0.048
2.15,129,0.073
2.15,130,0.055
2.15,131,0.071
2.15,132,0.05
2.15,133,0.052
2.15,134,0.067
2.15,135,0.052
2.15,136,0.067
2.15,137,0.017
2.15,138,0.011
2.15,139,0.014
2.15,140,0.012
2.15,141,0.092
2.15,142,0.069
2.15,143,0.047
2.15,144,0.049
2.15,145,0.044
2.15,146,0.051
2.15,147,0.046
2.15,148,0.072
2.15,149,0.053
2.15,150,0.048
2.15,151,0.006
2.15,152,0.056
2.15,153,0.021
2.15,154,0.1
2.15,155,0.059
2.15,156,0.114
2.15,157,0.061
2.15,158,0.052
2.15,159,0.049
2.15,160,0.081
2.15,161,0.058
2.15,162,0.045
2.15,163,0.076
2.15,164,0.047
2.15,165,0.055
2.15,166,0.085
2.15,167,0.067
2.15,168,0.057
2.15,169,0.049
2.15,170,0.058
2.15,171,0.049
2.15,172,0.098
2.15,173,0.024
2.15,174,0.062
2.15,175,0.07
2.15,176,0.027
2.15,177,0.053
2.15,178,0.017
2.15,179,0.063
2.15,180,0.084
2.15,181,0.067
2.15,182,0.045
2.15,183,0.047
2.15,184,0.068
2.15,185,0.046
2.15,186,0.057
2.15,187,0.047
2.15,188,0.012
2.15,189,0.046
2.15,190,0.056
2.15,191,0.054
2.15,192,0.019
2.15,193,0.053
2.15,194,0.067
2.15,195,0.026
2.15,196,0.048
2.15,197,0.048
2.15,198,0.05
2.15,199,0.106
2.15,200,0.079
2.15,201,0.051
2.15,202,0.068
2.15,203,0.045
2.15,204,0.038
2.15,205,0.056
2.15,206,0.058
2.15,207,0.056
2.15,208,0.065
2.15,209,0.057
2.15,210,0.052
2.15,211,0.056
2.15,212,0.049
2.15,213,0.047
2.15,214,0.024
2.15,215,0.021
2.15,216,0.055
2.15,217,0.052
2.15,218,0.009
2.15,219,0.042
2.15,220,0.049
2.15,221,0.025
2.15,222,0.053
2.15,223,0.057
2.15,224,0.01
