Mean,Count,Service Time
1.4414182818144953E9,0,0.208
1.4414182818144953E9,1,0.101
1.4414182818144953E9,2,0.102
1.4414182818144953E9,3,0.098
1.4414182818144953E9,4,0.107
1.4414182818144953E9,5,0.108
1.4414182818144953E9,6,0.097
1.4414182818144953E9,7,0.099
1.4414182818144953E9,8,0.072
1.4414182818144953E9,9,0.061
1.4414182818144953E9,10,0.057
1.4414182818144953E9,11,0.088
1.4414182818144953E9,12,0.06
1.4414182818144953E9,13,0.098
1.4414182818144953E9,14,0.013
1.4414182818144953E9,15,0.084
1.4414182818144953E9,16,0.019
1.4414182818144953E9,17,0.046
1.4414182818144953E9,18,0.087
1.4414182818144953E9,19,0.069
1.4414182818144953E9,20,0.055
1.4414182818144953E9,21,0.065
1.4414182818144953E9,22,0.065
1.4414182818144953E9,23,0.067
1.4414182818144953E9,24,0.073
1.4414182818144953E9,25,0.038
1.4414182818144953E9,26,0.068
1.4414182818144953E9,27,0.03
1.4414182818144953E9,28,0.095
1.4414182818144953E9,29,0.066
1.4414182818144953E9,30,0.063
1.4414182818144953E9,31,0.068
1.4414182818144953E9,32,0.054
1.4414182818144953E9,33,0.046
1.4414182818144953E9,34,0.074
1.4414182818144953E9,35,0.11
1.4414182818144953E9,36,0.027
1.4414182818144953E9,37,0.032
1.4414182818144953E9,38,0.052
1.4414182818144953E9,39,0.035
1.4414182818144953E9,40,0.061
1.4414182818144953E9,41,0.058
1.4414182818144953E9,42,0.027
1.4414182818144953E9,43,0.017
1.4414182818144953E9,44,0.066
1.4414182818144953E9,45,0.07
1.4414182818144953E9,46,0.064
1.4414182818144953E9,47,0.057
1.4414182818144953E9,48,0.141
1.4414182818144953E9,49,0.067
1.4414182818144953E9,50,0.061
1.4414182818144953E9,51,0.069
1.4414182818144953E9,52,0.06
1.4414182818144953E9,53,0.058
1.4414182818144953E9,54,0.067
1.4414182818144953E9,55,0.055
1.4414182818144953E9,56,0.023
1.4414182818144953E9,57,0.082
1.4414182818144953E9,58,0.057
1.4414182818144953E9,59,0.06
1.4414182818144953E9,60,0.057
1.4414182818144953E9,61,0.022
1.4414182818144953E9,62,0.111
1.4414182818144953E9,63,0.038
1.4414182818144953E9,64,0.047
1.4414182818144953E9,65,0.073
1.4414182818144953E9,66,0.077
1.4414182818144953E9,67,0.048
1.4414182818144953E9,68,0.038
1.4414182818144953E9,69,0.032
1.4414182818144953E9,70,0.035
1.4414182818144953E9,71,0.056
1.4414182818144953E9,72,0.045
1.4414182818144953E9,73,0.047
1.4414182818144953E9,74,0.053
1.4414182818144953E9,75,0.052
1.4414182818144953E9,76,0.062
1.4414182818144953E9,77,0.053
1.4414182818144953E9,78,0.093
1.4414182818144953E9,79,0.056
1.4414182818144953E9,80,0.032
1.4414182818144953E9,81,0.028
1.4414182818144953E9,82,0.093
1.4414182818144953E9,83,0.054
1.4414182818144953E9,84,0.053
1.4414182818144953E9,85,0.058
1.4414182818144953E9,86,0.025
1.4414182818144953E9,87,0.053
1.4414182818144953E9,88,0.03
1.4414182818144953E9,89,0.034
1.4414182818144953E9,90,0.052
1.4414182818144953E9,91,0.051
1.4414182818144953E9,92,0.082
1.4414182818144953E9,93,0.063
1.4414182818144953E9,94,0.05
1.4414182818144953E9,95,0.016
1.4414182818144953E9,96,0.047
1.4414182818144953E9,97,0.047
1.4414182818144953E9,98,0.01
1.4414182818144953E9,99,0.018
1.4414182818144953E9,100,0.034
1.4414182818144953E9,101,0.06
1.4414182818144953E9,102,0.051
1.4414182818144953E9,103,0.101
1.4414182818144953E9,104,0.058
1.4414182818144953E9,105,0.016
1.4414182818144953E9,106,0.053
1.4414182818144953E9,107,0.046
1.4414182818144953E9,108,0.009
1.4414182818144953E9,109,0.03
1.4414182818144953E9,110,0.058
1.4414182818144953E9,111,0.044
1.4414182818144953E9,112,0.042
1.4414182818144953E9,113,0.057
1.4414182818144953E9,114,0.071
1.4414182818144953E9,115,0.092
1.4414182818144953E9,116,0.044
1.4414182818144953E9,117,0.056
1.4414182818144953E9,118,0.06
1.4414182818144953E9,119,0.045
1.4414182818144953E9,120,0.05
1.4414182818144953E9,121,0.048
1.4414182818144953E9,122,0.016
1.4414182818144953E9,123,0.046
1.4414182818144953E9,124,0.048
1.4414182818144953E9,125,0.063
1.4414182818144953E9,126,0.014
1.4414182818144953E9,127,0.058
1.4414182818144953E9,128,0.006
1.4414182818144953E9,129,0.012
1.4414182818144953E9,130,0.063
1.4414182818144953E9,131,0.06
1.4414182818144953E9,132,0.047
1.4414182818144953E9,133,0.043
1.4414182818144953E9,134,0.072
1.4414182818144953E9,135,0.065
1.4414182818144953E9,136,0.049
1.4414182818144953E9,137,0.021
1.4414182818144953E9,138,0.056
1.4414182818144953E9,139,0.056
1.4414182818144953E9,140,0.067
1.4414182818144953E9,141,0.05
1.4414182818144953E9,142,0.047
1.4414182818144953E9,143,0.056
1.4414182818144953E9,144,0.044
1.4414182818144953E9,145,0.018
1.4414182818144953E9,146,0.018
1.4414182818144953E9,147,0.047
1.4414182818144953E9,148,0.06
1.4414182818144953E9,149,0.019
1.4414182818144953E9,150,0.022
1.4414182818144953E9,151,0.071
1.4414182818144953E9,152,0.045
1.4414182818144953E9,153,0.018
1.4414182818144953E9,154,0.047
1.4414182818144953E9,155,0.034
1.4414182818144953E9,156,0.017
1.4414182818144953E9,157,0.025
1.4414182818144953E9,158,0.042
1.4414182818144953E9,159,0.052
1.4414182818144953E9,160,0.023
1.4414182818144953E9,161,0.053
1.4414182818144953E9,162,0.057
1.4414182818144953E9,163,0.06
1.4414182818144953E9,164,0.056
1.4414182818144953E9,165,0.096
1.4414182818144953E9,166,0.059
1.4414182818144953E9,167,0.068
1.4414182818144953E9,168,0.06
1.4414182818144953E9,169,0.057
1.4414182818144953E9,170,0.015
1.4414182818144953E9,171,0.014
1.4414182818144953E9,172,0.054
1.4414182818144953E9,173,0.045
1.4414182818144953E9,174,0.005
1.4414182818144953E9,175,0.051
1.4414182818144953E9,176,0.069
1.4414182818144953E9,177,0.009
1.4414182818144953E9,178,0.009
1.4414182818144953E9,179,0.008
1.4414182818144953E9,180,0.058
1.4414182818144953E9,181,0.045
1.4414182818144953E9,182,0.044
1.4414182818144953E9,183,0.006
1.4414182818144953E9,184,0.047
1.4414182818144953E9,185,0.043
1.4414182818144953E9,186,0.085
1.4414182818144953E9,187,0.009
1.4414182818144953E9,188,0.011
1.4414182818144953E9,189,0.012
1.4414182818144953E9,190,0.046
1.4414182818144953E9,191,0.043
1.4414182818144953E9,192,0.048
1.4414182818144953E9,193,0.057
1.4414182818144953E9,194,0.048
1.4414182818144953E9,195,0.042
1.4414182818144953E9,196,0.007
1.4414182818144953E9,197,0.049
1.4414182818144953E9,198,0.01
1.4414182818144953E9,199,0.014
1.4414182818144953E9,200,0.02
1.4414182818144953E9,201,0.047
1.4414182818144953E9,202,0.006
1.4414182818144953E9,203,0.047
1.4414182818144953E9,204,0.009
1.4414182818144953E9,205,0.05
1.4414182818144953E9,206,0.059
1.4414182818144953E9,207,0.051
1.4414182818144953E9,208,0.013
1.4414182818144953E9,209,0.047
1.4414182818144953E9,210,0.008
1.4414182818144953E9,211,0.007
1.4414182818144953E9,212,0.054
1.4414182818144953E9,213,0.044
1.4414182818144953E9,214,0.048
1.4414182818144953E9,215,0.012
1.4414182818144953E9,216,0.044
1.4414182818144953E9,217,0.027
1.4414182818144953E9,218,0.053
1.4414182818144953E9,219,0.044
1.4414182818144953E9,220,0.044
1.4414182818144953E9,221,0.044
1.4414182818144953E9,222,0.044
1.4414182818144953E9,223,0.016
1.4414182818144953E9,224,0.042
1.4414182818144953E9,225,0.045
1.4414182818144953E9,226,0.006
1.4414182818144953E9,227,0.044
1.4414182818144953E9,228,0.049
1.4414182818144953E9,229,0.048
1.4414182818144953E9,230,0.047
1.4414182818144953E9,231,0.043
1.4414182818144953E9,232,0.044
1.4414182818144953E9,233,0.049
1.4414182818144953E9,234,0.051
1.4414182818144953E9,235,0.053
1.4414182818144953E9,236,0.005
1.4414182818144953E9,237,0.049
1.4414182818144953E9,238,0.044
1.4414182818144953E9,239,0.047
1.4414182818144953E9,240,0.045
1.4414182818144953E9,241,0.05
1.4414182818144953E9,242,0.05
1.4414182818144953E9,243,0.055
1.4414182818144953E9,244,0.008
1.4414182818144953E9,245,0.045
1.4414182818144953E9,246,0.043
1.4414182818144953E9,247,0.009
1.4414182818144953E9,248,0.047
1.4414182818144953E9,249,0.051
1.4414182818144953E9,250,0.01
1.4414182818144953E9,251,0.007
1.4414182818144953E9,252,0.053
1.4414182818144953E9,253,0.072
1.4414182818144953E9,254,0.005
1.4414182818144953E9,255,0.047
1.4414182818144953E9,256,0.047
1.4414182818144953E9,257,0.143
1.4414182818144953E9,258,0.048
1.4414182818144953E9,259,0.092
1.4414182818144953E9,260,0.047
1.4414182818144953E9,261,0.046
1.4414182818144953E9,262,0.046
1.4414182818144953E9,263,0.044
1.4414182818144953E9,264,0.048
1.4414182818144953E9,265,0.045
1.4414182818144953E9,266,0.044
1.4414182818144953E9,267,0.044
1.4414182818144953E9,268,0.042
1.4414182818144953E9,269,0.045
1.4414182818144953E9,270,0.042
1.4414182818144953E9,271,0.044
1.4414182818144953E9,272,0.014
1.4414182818144953E9,273,0.045
1.4414182818144953E9,274,0.047
1.4414182818144953E9,275,0.014
1.4414182818144953E9,276,0.007
1.4414182818144953E9,277,0.047
1.4414182818144953E9,278,0.014
1.4414182818144953E9,279,0.008
1.4414182818144953E9,280,0.017
1.4414182818144953E9,281,0.05
1.4414182818144953E9,282,0.008
1.4414182818144953E9,283,0.064
1.4414182818144953E9,284,0.012
1.4414182818144953E9,285,0.049
1.4414182818144953E9,286,0.007
1.4414182818144953E9,287,0.042
1.4414182818144953E9,288,0.007
1.4414182818144953E9,289,0.05
1.4414182818144953E9,290,0.01
1.4414182818144953E9,291,0.05
1.4414182818144953E9,292,0.045
1.4414182818144953E9,293,0.042
1.4414182818144953E9,294,0.044
1.4414182818144953E9,295,0.079
1.4414182818144953E9,296,0.008
1.4414182818144953E9,297,0.058
1.4414182818144953E9,298,0.075
1.4414182818144953E9,299,0.048
1.4414182818144953E9,300,0.004
1.4414182818144953E9,301,0.006
1.4414182818144953E9,302,0.007
1.4414182818144953E9,303,0.023
1.4414182818144953E9,304,0.049
1.4414182818144953E9,305,0.053
1.4414182818144953E9,306,0.045
1.4414182818144953E9,307,0.006
1.4414182818144953E9,308,0.061
1.4414182818144953E9,309,0.009
1.4414182818144953E9,310,0.067
1.4414182818144953E9,311,0.072
1.4414182818144953E9,312,0.064
1.4414182818144953E9,313,0.014
1.4414182818144953E9,314,0.049
1.4414182818144953E9,315,0.011
1.4414182818144953E9,316,0.007
1.4414182818144953E9,317,0.045
1.4414182818144953E9,318,0.048
1.4414182818144953E9,319,0.043
1.4414182818144953E9,320,0.049
1.4414182818144953E9,321,0.009
1.4414182818144953E9,322,0.007
1.4414182818144953E9,323,0.019
1.4414182818144953E9,324,0.045
1.4414182818144953E9,325,0.088
1.4414182818144953E9,326,0.054
1.4414182818144953E9,327,0.009
1.4414182818144953E9,328,0.06
1.4414182818144953E9,329,0.059
1.4414182818144953E9,330,0.066
1.4414182818144953E9,331,0.051
1.4414182818144953E9,332,0.015
1.4414182818144953E9,333,0.057
1.4414182818144953E9,334,0.048
1.4414182818144953E9,335,0.085
1.4414182818144953E9,336,0.021
1.4414182818144953E9,337,0.009
1.4414182818144953E9,338,0.011
1.4414182818144953E9,339,0.045
1.4414182818144953E9,340,0.007
1.4414182818144953E9,341,0.017
1.4414182818144953E9,342,0.054
1.4414182818144953E9,343,0.052
1.4414182818144953E9,344,0.075
1.4414182818144953E9,345,0.009
1.4414182818144953E9,346,0.054
1.4414182818144953E9,347,0.029
1.4414182818144953E9,348,0.019
1.4414182818144953E9,349,0.026
1.4414182818144953E9,350,0.083
1.4414182818144953E9,351,0.068
1.4414182818144953E9,352,0.007
1.4414182818144953E9,353,0.013
1.4414182818144953E9,354,0.049
1.4414182818144953E9,355,0.006
1.4414182818144953E9,356,0.054
1.4414182818144953E9,357,0.014
1.4414182818144953E9,358,0.01
1.4414182818144953E9,359,0.048
1.4414182818144953E9,360,0.044
1.4414182818144953E9,361,0.007
1.4414182818144953E9,362,0.008
1.4414182818144953E9,363,0.045
1.4414182818144953E9,364,0.044
1.4414182818144953E9,365,0.082
1.4414182818144953E9,366,0.009
1.4414182818144953E9,367,0.012
1.4414182818144953E9,368,0.005
1.4414182818144953E9,369,0.018
1.4414182818144953E9,370,0.042
1.4414182818144953E9,371,0.047
1.4414182818144953E9,372,0.07
1.4414182818144953E9,373,0.007
1.4414182818144953E9,374,0.006
1.4414182818144953E9,375,0.014
1.4414182818144953E9,376,0.02
1.4414182818144953E9,377,0.052
1.4414182818144953E9,378,0.053
1.4414182818144953E9,379,0.043
1.4414182818144953E9,380,0.044
1.4414182818144953E9,381,0.044
1.4414182818144953E9,382,0.044
1.4414182818144953E9,383,0.043
1.4414182818144953E9,384,0.057
1.4414182818144953E9,385,0.009
1.4414182818144953E9,386,0.038
1.4414182818144953E9,387,0.062
1.4414182818144953E9,388,0.011
1.4414182818144953E9,389,0.026
1.4414182818144953E9,390,0.056
1.4414182818144953E9,391,0.076
1.4414182818144953E9,392,0.016
1.4414182818144953E9,393,0.056
1.4414182818144953E9,394,0.042
1.4414182818144953E9,395,0.044
1.4414182818144953E9,396,0.013
1.4414182818144953E9,397,0.011
1.4414182818144953E9,398,0.016
1.4414182818144953E9,399,0.025
1.4414182818144953E9,400,0.026
1.4414182818144953E9,401,0.044
1.4414182818144953E9,402,0.055
1.4414182818144953E9,403,0.044
1.4414182818144953E9,404,0.067
1.4414182818144953E9,405,0.007
1.4414182818144953E9,406,0.006
1.4414182818144953E9,407,0.021
1.4414182818144953E9,408,0.048
1.4414182818144953E9,409,0.073
1.4414182818144953E9,410,0.046
1.4414182818144953E9,411,0.049
1.4414182818144953E9,412,0.006
1.4414182818144953E9,413,0.006
1.4414182818144953E9,414,0.054
1.4414182818144953E9,415,0.056
1.4414182818144953E9,416,0.046
1.4414182818144953E9,417,0.052
1.4414182818144953E9,418,0.044
1.4414182818144953E9,419,0.052
1.4414182818144953E9,420,0.049
1.4414182818144953E9,421,0.044
1.4414182818144953E9,422,0.042
1.4414182818144953E9,423,0.011
1.4414182818144953E9,424,0.044
1.4414182818144953E9,425,0.053
1.4414182818144953E9,426,0.047
1.4414182818144953E9,427,0.045
1.4414182818144953E9,428,0.005
1.4414182818144953E9,429,0.049
1.4414182818144953E9,430,0.044
1.4414182818144953E9,431,0.045
1.4414182818144953E9,432,0.01
1.4414182818144953E9,433,0.018
1.4414182818144953E9,434,0.028
1.4414182818144953E9,435,0.004
1.4414182818144953E9,436,0.025
1.4414182818144953E9,437,0.046
1.4414182818144953E9,438,0.052
1.4414182818144953E9,439,0.044
1.4414182818144953E9,440,0.046
1.4414182818144953E9,441,0.042
1.4414182818144953E9,442,0.045
1.4414182818144953E9,443,0.011
1.4414182818144953E9,444,0.044
1.4414182818144953E9,445,0.009
1.4414182818144953E9,446,0.013
1.4414182818144953E9,447,0.047
1.4414182818144953E9,448,0.043
1.4414182818144953E9,449,0.052
1.4414182818144953E9,450,0.043
1.4414182818144953E9,451,0.006
1.4414182818144953E9,452,0.013
1.4414182818144953E9,453,0.043
1.4414182818144953E9,454,0.044
1.4414182818144953E9,455,0.047
1.4414182818144953E9,456,0.044
1.4414182818144953E9,457,0.077
1.4414182818144953E9,458,0.005
1.4414182818144953E9,459,0.01
1.4414182818144953E9,460,0.042
1.4414182818144953E9,461,0.006
1.4414182818144953E9,462,0.007
1.4414182818144953E9,463,0.009
1.4414182818144953E9,464,0.029
1.4414182818144953E9,465,0.048
1.4414182818144953E9,466,0.016
1.4414182818144953E9,467,0.019
1.4414182818144953E9,468,0.004
1.4414182818144953E9,469,0.063
1.4414182818144953E9,470,0.048
1.4414182818144953E9,471,0.045
1.4414182818144953E9,472,0.043
1.4414182818144953E9,473,0.044
1.4414182818144953E9,474,0.007
1.4414182818144953E9,475,0.022
1.4414182818144953E9,476,0.005
1.4414182818144953E9,477,0.028
1.4414182818144953E9,478,0.044
1.4414182818144953E9,479,0.018
1.4414182818144953E9,480,0.077
1.4414182818144953E9,481,0.051
1.4414182818144953E9,482,0.004
1.4414182818144953E9,483,0.047
1.4414182818144953E9,484,0.045
1.4414182818144953E9,485,0.016
1.4414182818144953E9,486,0.057
1.4414182818144953E9,487,0.016
1.4414182818144953E9,488,0.083
1.4414182818144953E9,489,0.048
1.4414182818144953E9,490,0.057
1.4414182818144953E9,491,0.056
1.4414182818144953E9,492,0.017
1.4414182818144953E9,493,0.045
1.4414182818144953E9,494,0.046
1.4414182818144953E9,495,0.005
1.4414182818144953E9,496,0.012
1.4414182818144953E9,497,0.024
1.4414182818144953E9,498,0.019
1.4414182818144953E9,499,0.017
1.4414182818144953E9,500,0.053
1.4414182818144953E9,501,0.045
1.4414182818144953E9,502,0.048
1.4414182818144953E9,503,0.008
1.4414182818144953E9,504,0.011
1.4414182818144953E9,505,0.046
1.4414182818144953E9,506,0.05
1.4414182818144953E9,507,0.01
1.4414182818144953E9,508,0.046
1.4414182818144953E9,509,0.044
1.4414182818144953E9,510,0.044
1.4414182818144953E9,511,0.044
1.4414182818144953E9,512,0.044
1.4414182818144953E9,513,0.047
1.4414182818144953E9,514,0.003
1.4414182818144953E9,515,0.018
1.4414182818144953E9,516,0.045
1.4414182818144953E9,517,0.044
1.4414182818144953E9,518,0.006
1.4414182818144953E9,519,0.049
1.4414182818144953E9,520,0.044
1.4414182818144953E9,521,0.005
1.4414182818144953E9,522,0.009
1.4414182818144953E9,523,0.005
1.4414182818144953E9,524,0.059
1.4414182818144953E9,525,0.044
1.4414182818144953E9,526,0.043
1.4414182818144953E9,527,0.041
1.4414182818144953E9,528,0.044
1.4414182818144953E9,529,0.004
1.4414182818144953E9,530,0.005
