Mean,Count,Service Time
8.3,0,0.618
8.3,1,0.019
8.3,2,0.038
8.3,3,0.056
8.3,4,0.071
8.3,5,0.031
8.3,6,0.059
8.3,7,0.024
8.3,8,0.041
8.3,9,0.041
8.3,10,0.076
8.3,11,0.07
8.3,12,0.108
8.3,13,0.037
8.3,14,0.043
8.3,15,0.034
8.3,16,0.031
8.3,17,0.013
8.3,18,0.063
8.3,19,0.089
8.3,20,0.052
8.3,21,0.07
8.3,22,0.092
8.3,23,0.058
8.3,24,0.081
8.3,25,0.072
8.3,26,0.04
8.3,27,0.074
8.3,28,0.052
8.3,29,0.047
8.3,30,0.017
8.3,31,0.08
8.3,32,0.09
8.3,33,0.052
8.3,34,0.089
8.3,35,0.039
8.3,36,0.01
8.3,37,0.01
8.3,38,0.049
8.3,39,0.051
8.3,40,0.046
8.3,41,0.016
8.3,42,0.051
8.3,43,0.007
8.3,44,0.02
8.3,45,0.015
8.3,46,0.078
8.3,47,0.021
8.3,48,0.066
8.3,49,0.024
8.3,50,0.029
8.3,51,0.057
8.3,52,0.047
8.3,53,0.059
8.3,54,0.076
8.3,55,0.035
8.3,56,0.057
8.3,57,0.055
8.3,58,0.064
8.3,59,0.065
8.3,60,0.057
8.3,61,0.017
8.3,62,0.049
8.3,63,0.012
8.3,64,0.013
8.3,65,0.039
8.3,66,0.079
8.3,67,0.073
8.3,68,0.017
8.3,69,0.016
8.3,70,0.06
8.3,71,0.007
8.3,72,0.03
8.3,73,0.013
8.3,74,0.046
8.3,75,0.006
8.3,76,0.011
8.3,77,0.018
8.3,78,0.065
8.3,79,0.046
8.3,80,0.016
8.3,81,0.056
8.3,82,0.016
8.3,83,0.022
8.3,84,0.034
8.3,85,0.05
8.3,86,0.065
8.3,87,0.066
8.3,88,0.088
8.3,89,0.057
8.3,90,0.017
8.3,91,0.009
8.3,92,0.006
8.3,93,0.046
8.3,94,0.047
8.3,95,0.044
8.3,96,0.079
8.3,97,0.054
8.3,98,0.005
8.3,99,0.059
8.3,100,0.043
8.3,101,0.006
8.3,102,0.045
8.3,103,0.044
8.3,104,0.017
8.3,105,0.074
8.3,106,0.007
8.3,107,0.043
8.3,108,0.048
8.3,109,0.067
8.3,110,0.049
8.3,111,0.055
8.3,112,0.043
8.3,113,0.053
8.3,114,0.048
8.3,115,0.044
8.3,116,0.048
8.3,117,0.045
8.3,118,0.009
8.3,119,0.053
8.3,120,0.046
8.3,121,0.007
8.3,122,0.051
8.3,123,0.012
8.3,124,0.022
8.3,125,0.024
8.3,126,0.05
8.3,127,0.047
8.3,128,0.053
8.3,129,0.063
8.3,130,0.059
8.3,131,0.013
8.3,132,0.058
8.3,133,0.062
8.3,134,0.054
8.3,135,0.077
8.3,136,0.048
8.3,137,0.098
8.3,138,0.01
8.3,139,0.009
8.3,140,0.049
8.3,141,0.01
8.3,142,0.009
8.3,143,0.069
8.3,144,0.005
8.3,145,0.01
8.3,146,0.005
8.3,147,0.011
8.3,148,0.048
8.3,149,0.029
8.3,150,0.022
8.3,151,0.058
8.3,152,0.057
8.3,153,0.062
8.3,154,0.045
8.3,155,0.046
8.3,156,0.006
8.3,157,0.047
8.3,158,0.049
8.3,159,0.017
8.3,160,0.045
8.3,161,0.033
8.3,162,0.026
8.3,163,0.066
8.3,164,0.017
8.3,165,0.006
8.3,166,0.049
8.3,167,0.048
8.3,168,0.015
8.3,169,0.015
8.3,170,0.044
8.3,171,0.011
8.3,172,0.02
8.3,173,0.018
8.3,174,0.018
8.3,175,0.045
8.3,176,0.047
8.3,177,0.01
8.3,178,0.018
8.3,179,0.02
8.3,180,0.023
8.3,181,0.005
8.3,182,0.01
8.3,183,0.02
8.3,184,0.05
8.3,185,0.055
8.3,186,0.043
8.3,187,0.008
8.3,188,0.048
8.3,189,0.046
8.3,190,0.047
8.3,191,0.04
8.3,192,0.032
8.3,193,0.019
8.3,194,0.044
8.3,195,0.044
8.3,196,0.046
8.3,197,0.045
8.3,198,0.042
8.3,199,0.057
8.3,200,0.012
8.3,201,0.049
8.3,202,0.044
8.3,203,0.025
8.3,204,0.045
8.3,205,0.046
8.3,206,0.01
8.3,207,0.054
8.3,208,0.042
8.3,209,0.048
8.3,210,0.046
8.3,211,0.048
8.3,212,0.024
8.3,213,0.012
8.3,214,0.047
8.3,215,0.005
8.3,216,0.042
8.3,217,0.01
8.3,218,0.044
8.3,219,0.046
8.3,220,0.061
8.3,221,0.005
8.3,222,0.007
8.3,223,0.041
8.3,224,0.044
8.3,225,0.048
8.3,226,0.041
8.3,227,0.014
8.3,228,0.052
8.3,229,0.056
8.3,230,0.043
8.3,231,0.047
8.3,232,0.06
8.3,233,0.061
8.3,234,0.078
8.3,235,0.046
8.3,236,0.051
8.3,237,0.009
8.3,238,0.064
8.3,239,0.05
8.3,240,0.045
8.3,241,0.046
8.3,242,0.044
8.3,243,0.047
8.3,244,0.013
8.3,245,0.049
8.3,246,0.008
8.3,247,0.009
8.3,248,0.007
8.3,249,0.014
8.3,250,0.025
8.3,251,0.062
8.3,252,0.023
8.3,253,0.072
8.3,254,0.012
8.3,255,0.046
8.3,256,0.083
8.3,257,0.048
8.3,258,0.042
8.3,259,0.01
8.3,260,0.046
8.3,261,0.049
8.3,262,0.006
8.3,263,0.015
8.3,264,0.054
8.3,265,0.054
8.3,266,0.048
8.3,267,0.011
8.3,268,0.05
8.3,269,0.058
8.3,270,0.012
8.3,271,0.045
8.3,272,0.014
8.3,273,0.049
8.3,274,0.059
8.3,275,0.011
8.3,276,0.064
8.3,277,0.075
8.3,278,0.049
8.3,279,0.013
8.3,280,0.051
8.3,281,0.058
8.3,282,0.056
8.3,283,0.046
8.3,284,0.047
8.3,285,0.057
8.3,286,0.048
8.3,287,0.043
8.3,288,0.006
8.3,289,0.056
8.3,290,0.014
8.3,291,0.05
8.3,292,0.044
8.3,293,0.049
8.3,294,0.046
8.3,295,0.021
8.3,296,0.045
8.3,297,0.009
8.3,298,0.016
8.3,299,0.008
8.3,300,0.01
8.3,301,0.077
8.3,302,0.096
8.3,303,0.066
8.3,304,0.023
8.3,305,0.018
8.3,306,0.046
8.3,307,0.068
8.3,308,0.063
8.3,309,0.054
8.3,310,0.088
8.3,311,0.052
8.3,312,0.07
8.3,313,0.058
8.3,314,0.05
8.3,315,0.012
8.3,316,0.02
8.3,317,0.056
8.3,318,0.042
8.3,319,0.013
8.3,320,0.018
8.3,321,0.026
8.3,322,0.054
8.3,323,0.053
8.3,324,0.049
8.3,325,0.007
8.3,326,0.022
8.3,327,0.054
8.3,328,0.049
8.3,329,0.011
8.3,330,0.01
8.3,331,0.05
8.3,332,0.005
8.3,333,0.051
8.3,334,0.007
8.3,335,0.056
8.3,336,0.006
8.3,337,0.051
8.3,338,0.044
8.3,339,0.06
8.3,340,0.014
8.3,341,0.046
8.3,342,0.045
8.3,343,0.066
8.3,344,0.049
8.3,345,0.008
8.3,346,0.057
8.3,347,0.06
8.3,348,0.043
8.3,349,0.006
8.3,350,0.043
8.3,351,0.008
8.3,352,0.044
8.3,353,0.045
8.3,354,0.008
8.3,355,0.018
8.3,356,0.007
8.3,357,0.011
8.3,358,0.049
8.3,359,0.053
8.3,360,0.063
8.3,361,0.055
8.3,362,0.05
8.3,363,0.048
8.3,364,0.047
8.3,365,0.004
8.3,366,0.045
8.3,367,0.048
8.3,368,0.047
8.3,369,0.011
8.3,370,0.049
8.3,371,0.044
8.3,372,0.044
8.3,373,0.042
8.3,374,0.011
8.3,375,0.004
8.3,376,0.043
8.3,377,0.043
8.3,378,0.044
8.3,379,0.047
8.3,380,0.043
8.3,381,0.004
8.3,382,0.055
8.3,383,0.009
8.3,384,0.043
8.3,385,0.005
8.3,386,0.071
8.3,387,0.043
8.3,388,0.007
8.3,389,0.052
8.3,390,0.044
8.3,391,0.041
8.3,392,0.047
8.3,393,0.045
8.3,394,0.064
8.3,395,0.007
8.3,396,0.014
8.3,397,0.025
8.3,398,0.061
8.3,399,0.049
8.3,400,0.065
8.3,401,0.008
8.3,402,0.005
8.3,403,0.06
8.3,404,0.05
8.3,405,0.036
8.3,406,0.052
8.3,407,0.048
8.3,408,0.044
8.3,409,0.075
8.3,410,0.048
8.3,411,0.043
8.3,412,0.045
8.3,413,0.083
8.3,414,0.008
8.3,415,0.045
8.3,416,0.044
8.3,417,0.049
8.3,418,0.043
8.3,419,0.044
8.3,420,0.007
8.3,421,0.014
8.3,422,0.055
8.3,423,0.043
8.3,424,0.042
8.3,425,0.042
8.3,426,0.005
8.3,427,0.01
8.3,428,0.048
8.3,429,0.044
8.3,430,0.006
8.3,431,0.048
8.3,432,0.021
8.3,433,0.051
8.3,434,0.048
8.3,435,0.042
8.3,436,0.042
8.3,437,0.019
8.3,438,0.065
8.3,439,0.047
8.3,440,0.009
8.3,441,0.052
8.3,442,0.009
8.3,443,0.015
8.3,444,0.041
8.3,445,0.049
8.3,446,0.047
8.3,447,0.019
8.3,448,0.049
8.3,449,0.046
8.3,450,0.044
8.3,451,0.006
8.3,452,0.086
8.3,453,0.007
8.3,454,0.006
8.3,455,0.046
8.3,456,0.008
8.3,457,0.007
8.3,458,0.051
8.3,459,0.008
8.3,460,0.006
8.3,461,0.053
8.3,462,0.004
8.3,463,0.043
8.3,464,0.043
8.3,465,0.005
8.3,466,0.044
8.3,467,0.046
8.3,468,0.04
8.3,469,0.044
8.3,470,0.006
8.3,471,0.015
8.3,472,0.009
8.3,473,0.054
8.3,474,0.041
8.3,475,0.043
8.3,476,0.045
8.3,477,0.047
8.3,478,0.05
8.3,479,0.056
8.3,480,0.05
8.3,481,0.01
8.3,482,0.021
8.3,483,0.042
8.3,484,0.044
8.3,485,0.006
8.3,486,0.006
8.3,487,0.047
8.3,488,0.017
8.3,489,0.045
8.3,490,0.05
8.3,491,0.051
8.3,492,0.046
8.3,493,0.016
8.3,494,0.02
8.3,495,0.053
8.3,496,0.075
8.3,497,0.053
8.3,498,0.008
