Mean,Count,Service Time
1.4411442791454208E9,0,0.048
1.4411442791454208E9,1,0.069
1.4411442791454208E9,2,0.027
1.4411442791454208E9,3,0.017
1.4411442791454208E9,4,0.02
1.4411442791454208E9,5,0.018
1.4411442791454208E9,6,0.052
1.4411442791454208E9,7,0.057
1.4411442791454208E9,8,0.054
1.4411442791454208E9,9,0.007
1.4411442791454208E9,10,0.055
1.4411442791454208E9,11,0.046
1.4411442791454208E9,12,0.008
1.4411442791454208E9,13,0.009
1.4411442791454208E9,14,0.005
1.4411442791454208E9,15,0.014
1.4411442791454208E9,16,0.063
1.4411442791454208E9,17,0.008
1.4411442791454208E9,18,0.007
1.4411442791454208E9,19,0.008
1.4411442791454208E9,20,0.006
1.4411442791454208E9,21,0.017
1.4411442791454208E9,22,0.063
1.4411442791454208E9,23,0.05
1.4411442791454208E9,24,0.044
1.4411442791454208E9,25,0.015
1.4411442791454208E9,26,0.006
1.4411442791454208E9,27,0.019
1.4411442791454208E9,28,0.065
1.4411442791454208E9,29,0.06
1.4411442791454208E9,30,0.022
1.4411442791454208E9,31,0.055
1.4411442791454208E9,32,0.056
1.4411442791454208E9,33,0.006
1.4411442791454208E9,34,0.006
1.4411442791454208E9,35,0.019
1.4411442791454208E9,36,0.014
1.4411442791454208E9,37,0.011
1.4411442791454208E9,38,0.043
1.4411442791454208E9,39,0.007
1.4411442791454208E9,40,0.023
1.4411442791454208E9,41,0.058
1.4411442791454208E9,42,0.054
1.4411442791454208E9,43,0.038
1.4411442791454208E9,44,0.05
1.4411442791454208E9,45,0.008
1.4411442791454208E9,46,0.08
1.4411442791454208E9,47,0.051
1.4411442791454208E9,48,0.01
1.4411442791454208E9,49,0.008
1.4411442791454208E9,50,0.052
1.4411442791454208E9,51,0.007
1.4411442791454208E9,52,0.049
1.4411442791454208E9,53,0.015
1.4411442791454208E9,54,0.01
1.4411442791454208E9,55,0.006
1.4411442791454208E9,56,0.045
1.4411442791454208E9,57,0.048
1.4411442791454208E9,58,0.005
1.4411442791454208E9,59,0.05
1.4411442791454208E9,60,0.008
1.4411442791454208E9,61,0.047
1.4411442791454208E9,62,0.011
1.4411442791454208E9,63,0.053
1.4411442791454208E9,64,0.011
1.4411442791454208E9,65,0.014
1.4411442791454208E9,66,0.01
1.4411442791454208E9,67,0.011
1.4411442791454208E9,68,0.01
1.4411442791454208E9,69,0.06
1.4411442791454208E9,70,0.01
1.4411442791454208E9,71,0.013
1.4411442791454208E9,72,0.055
1.4411442791454208E9,73,0.047
1.4411442791454208E9,74,0.052
1.4411442791454208E9,75,0.011
1.4411442791454208E9,76,0.068
1.4411442791454208E9,77,0.05
1.4411442791454208E9,78,0.044
1.4411442791454208E9,79,0.007
1.4411442791454208E9,80,0.012
1.4411442791454208E9,81,0.06
1.4411442791454208E9,82,0.047
1.4411442791454208E9,83,0.054
1.4411442791454208E9,84,0.048
1.4411442791454208E9,85,0.049
1.4411442791454208E9,86,0.013
1.4411442791454208E9,87,0.009
1.4411442791454208E9,88,0.044
1.4411442791454208E9,89,0.013
1.4411442791454208E9,90,0.008
1.4411442791454208E9,91,0.059
1.4411442791454208E9,92,0.009
1.4411442791454208E9,93,0.043
1.4411442791454208E9,94,0.053
1.4411442791454208E9,95,0.047
1.4411442791454208E9,96,0.008
1.4411442791454208E9,97,0.006
1.4411442791454208E9,98,0.01
1.4411442791454208E9,99,0.096
1.4411442791454208E9,100,0.066
1.4411442791454208E9,101,0.012
1.4411442791454208E9,102,0.021
1.4411442791454208E9,103,0.013
1.4411442791454208E9,104,0.007
1.4411442791454208E9,105,0.021
1.4411442791454208E9,106,0.045
1.4411442791454208E9,107,0.007
1.4411442791454208E9,108,0.008
1.4411442791454208E9,109,0.008
1.4411442791454208E9,110,0.005
1.4411442791454208E9,111,0.044
1.4411442791454208E9,112,0.005
1.4411442791454208E9,113,0.007
1.4411442791454208E9,114,0.051
1.4411442791454208E9,115,0.009
1.4411442791454208E9,116,0.042
1.4411442791454208E9,117,0.005
1.4411442791454208E9,118,0.007
